V1,V2,V3
c.13.4.1.001,0,0.072
c.13.4.1.002,0,0.025
c.13.4.1.003,0,0.032
c.13.4.1.004,0,0.026
c.13.4.1.007,0,0.012
c.13.4.1.008,0,0.011
c.13.4.1.009,0,0.011
c.13.4.1.010,0,0.013
c.13.4.1.011,0,0.056
c.13.4.1.012,0,0.055
c.13.4.1.013,0,0.027
c.13.4.10.001,0,0.02
c.13.4.10.002,0,0.016
c.13.4.10.003,0,0.014
c.13.4.10.004,0,0.015
c.13.4.10.008,0,0.015
c.13.4.10.009,0,0.013
c.13.4.10.010,0,0.015
c.13.4.10.011,0,0.034
c.13.4.10.012,0,0.019
c.13.4.11.001,0,0.021
c.13.4.11.002,0,0.009
c.13.4.11.003,0,0.031
c.13.4.11.004,0,0.023
c.13.4.11.005,0,0.013
c.13.4.11.006,1,0.031
c.13.4.11.007,0,0.013
c.13.4.11.008,0,0.012
c.13.4.12.001,0,0.029
c.13.4.12.002,0,0.023
c.13.4.12.003,0,0.012
c.13.4.12.004,0,0.012
c.13.4.12.005,0,0.012
c.13.4.12.006,0,0.027
c.13.4.12.007,0,0.027
c.13.4.12.009,0,0.006
c.13.4.12.010,0,0.006
c.13.4.12.011,0,0.006
c.13.4.12.012,0,0.006
c.13.4.14.002,0,0.012
c.13.4.14.003,0,0.036
c.13.4.14.004,0,0.009
c.13.4.14.005,0,0.013
c.13.4.14.006,0,0.033
c.13.4.14.007,0,0.024
c.13.4.14.008,0,0.052
c.13.4.14.009,2,0.059
c.13.4.14.010,0,0.122
c.13.4.14.011,0,0.032
c.13.4.14.012,0,0.033
c.13.4.16.004,0,0.01
c.13.4.16.005,0,0.01
c.13.4.16.006,0,0.007
c.13.4.16.007,0,0.007
c.13.4.16.008,0,0.009
c.13.4.16.009,0,0.007
c.13.4.16.010,0,0.01
c.13.4.16.011,0,0.01
c.13.4.16.012,0,0.01
c.13.4.16.013,0,0.019
c.13.4.16.014,0,0.01
c.13.4.16.015,0,0.01
c.13.4.16.016,0,0.009
c.13.4.16.017,0,0.007
c.13.4.16.018,0,0.01
c.13.4.16.019,0,0.007
c.13.4.16.020,0,0.01
c.13.4.16.021,0,0.01
c.13.4.16.022,0,0.011
c.13.4.18.001,0,0.015
c.13.4.18.002,0,0.016
c.13.4.18.003,0,0.017
c.13.4.18.004,0,0.037
c.13.4.18.005,0,0.016
c.13.4.18.006,0,0.036
c.13.4.18.007,0,0.038
c.13.4.18.008,0,0.011
c.13.4.18.009,0,0.03
c.13.4.18.010,0,0.038
c.13.4.18.011,0,0.017
c.13.4.18.012,0,0.01
c.13.4.19.001,0,0.021
c.13.4.19.004,0,0.028
c.13.4.19.005,1,0.035
c.13.4.19.006,0,0.036
c.13.4.19.007,0,0.014
c.13.4.19.008,0,0.035
c.13.4.19.009,0,0.035
c.13.4.19.010,0,0.026
c.13.4.19.011,0,0.03
c.13.4.2.001,0,0.013
c.13.4.2.002,0,0.013
c.13.4.20.001,0,0.013
c.13.4.20.004,0,0.027
c.13.4.20.005,0,0.036
c.13.4.20.006,0,0.034
c.13.4.20.007,0,0.034
c.13.4.20.008,0,0.058
c.13.4.20.009,1,0.035
c.13.4.20.010,0,0.035
c.13.4.20.011,0,0.015
c.13.4.20.012,0,0.014
c.13.4.20.013,0,0.014
c.13.4.20.014,0,0.012
c.13.4.20.015,0,0.022
c.13.4.20.016,0,0.022
c.13.4.20.017,0,0.022
c.13.4.20.018,0,0.02
c.13.4.20.019,0,0.012
c.13.4.20.020,0,0.028
c.13.4.20.021,0,0.012
c.13.4.21.001,0,0.011
c.13.4.21.002,0,0.01
c.13.4.22.001,0,0.019
c.13.4.22.002,0,0.033
c.13.4.22.003,0,0.042
c.13.4.22.004,0,0.042
c.13.4.22.005,0,0.031
c.13.4.22.006,0,0.031
c.13.4.22.007,0,0.032
c.13.4.22.008,0,0.033
c.13.4.22.009,0,0.033
c.13.4.23.001,0,0.089
c.13.4.23.002,0,0.05
c.13.4.23.003,0,0.05
c.13.4.23.004,0,0.092
c.13.4.23.005,0,0.035
c.13.4.23.006,0,0.045
c.13.4.23.007,0,0.074
c.13.4.23.008,0,0.047
c.13.4.23.009,0,0.031
c.13.4.23.010,0,0.017
c.13.4.23.011,0,0.039
c.13.4.23.012,0,0.028
c.13.4.23.013,0,0.028
c.13.4.23.014,0,0.029
c.13.4.24.001,2,0.03
c.13.4.25.001,0,0.029
c.13.4.25.002,0,0.028
c.13.4.25.003,0,0.029
c.13.4.25.004,0,0.029
c.13.4.25.005,0,0.029
c.13.4.25.006,0,0.029
c.13.4.25.007,0,0.03
c.13.4.25.008,0,0.055
c.13.4.25.009,0,0.029
c.13.4.25.010,0,0.029
c.13.4.25.011,0,0.028
c.13.4.25.012,0,0.028
c.13.4.25.013,0,0.056
c.13.4.25.014,0,0.056
c.13.4.25.016,0,0.026
c.13.4.26.001,0,0.01
c.13.4.26.002,0,0.023
c.13.4.26.003,0,0.023
c.13.4.26.004,0,0.01
c.13.4.26.005,0,0.033
c.13.4.26.006,0,0.014
c.13.4.26.007,0,0.032
c.13.4.26.008,0,0.014
c.13.4.30.002,0,0.015
c.13.4.30.005,0,0.06
c.13.4.30.006,0,0.024
c.13.4.30.007,0,0.059
c.13.4.30.008,0,0.056
c.13.4.36.001,0,0.014
c.13.4.36.002,0,0.025
c.13.4.36.004,0,0.054
c.13.4.36.005,0,0.029
c.13.4.36.006,0,0.028
c.13.4.37.001,0,0.059
c.13.4.37.002,1,0.043
c.13.4.37.003,0,0.018
c.13.4.37.004,0,0.018
c.13.4.37.005,0,0.022
c.13.4.4.001,0,0.011
c.13.4.4.002,0,0.017
c.13.4.4.003,0,0.05
c.13.4.4.004,0,0.011
c.13.4.4.005,0,0.017
c.13.4.4.006,0,0.019
c.13.4.4.007,0,0.02
c.13.4.4.008,0,0.03
c.13.4.4.009,0,0.03
c.13.4.4.010,0,0.03
c.13.4.4.011,0,0.027
c.13.4.4.012,0,0.028
c.13.4.4.013,0,0.028
c.13.4.4.014,0,0.03
c.13.4.4.015,0,0.029
c.13.4.4.016,0,0.03
c.13.4.4.017,0,0.031
c.13.4.4.018,0,0.053
c.13.4.4.019,0,0.029
c.13.4.5.001,0,0.03
c.13.4.5.002,0,0.03
c.13.4.5.003,0,0.03
c.13.4.7.001,0,0.018
c.13.4.7.002,0,0.019
c.13.4.7.003,0,0.015
c.13.4.7.004,0,0.033
c.13.4.7.005,1,0.033
c.13.4.7.006,0,0.04
c.13.4.7.007,0,0.029
c.13.4.7.008,0,0.03
c.13.4.7.009,0,0.033
c.13.4.7.010,0,0.034
c.13.4.7.011,0,0.033
c.13.4.7.012,0,0.031
c.13.4.7.013,0,0.035
c.13.4.8.001,0,0.029
c.13.4.8.002,0,0.013
c.13.4.8.003,0,0.03
c.13.4.8.004,0,0.013
c.13.4.8.005,0,0.03
c.13.4.8.006,0,0.026
c.13.4.8.007,0,0.027
c.13.4.8.008,0,0.049
c.13.4.8.009,0,0.007
c.13.4.8.010,0,0.01
c.13.4.8.011,0,0.016
c.13.4.8.012,0,0.011
c.13.4.8.013,0,0.006
c.13.4.8.014,0,0.009
c.13.4.8.015,0,0.009
c.13.4.9.006,0,0.013
c.13.4.9.007,0,0.025
c.13.4.9.008,0,0.033
c.13.4.9.009,0,0.031
c.13.4.9.010,0,0.034
c.13.4.9.011,0,0.015
c.13.4.9.012,0,0.034
c.13.4.9.013,0,0.015
c.13.4.9.014,0,0.029
c.13.4.9.015,0,0.03
c.13.4.9.016,0,0.03
c.13.4.9.017,0,0.013
c.13.4.9.018,0,0.027
c.13.4.9.019,0,0.011
c.13.4.9.020,0,0.03
c.13.4.9.021,0,0.028
c.13.4.9.022,0,0.012
c.13.4.9.023,0,0.027
c.13.4.9.024,0,0.012
c.13.4.9.025,0,0.021
c.13.4.9.026,0,0.027
c.13.4.9.027,0,0.027
c.13.4.9.028,0,0.032
c.13.4.9.029,0,0.013
c.13.4.9.030,0,0.013
c.13.4.9.031,1,0.015
c.13.4.9.032,0,0.021
c.13.4.9.033,0,0.01
c.13.4.9.034,0,0.008
c.13.4.9.035,0,0.019
c.13.4.9.036,0,0.016
c.13.4.9.037,0,0.025
c.13.4.9.038,0,0.012
c.13.4.9.039,0,0.019
c.13.4.9.040,0,0.028
c.13.4.9.041,0,0.028
c.13.4.9.042,0,0.008
c.13.4.9.043,0,0.012
c.13.7.55.001,0,0.006
c.13.7.55.002,0,0.012
c.13.7.55.003,0,0.012
c.13.7.55.004,0,0.019
c.13.7.56.006,0,0.01
c.13.7.57.001,0,0.011
c.13.7.57.002,0,0.02
c.13.7.57.003,0,0.01
c.13.7.57.004,0,0.011
c.13.7.57.005,0,0.011
c.13.7.57.006,0,0.011
c.13.7.57.007,0,0.011
c.13.7.57.008,0,0.011
c.13.7.57.009,0,0.011
c.13.7.60.001,0,0.011
c.13.7.60.002,0,0.011
c.13.7.60.003,0,0.01
c.13.7.60.004,0,0.019
c.13.7.60.005,0,0.01
c.13.7.60.006,0,0.007
c.13.7.63.001,0,0.007
c.13.7.63.002,0,0.02
c.13.7.63.003,0,0.011
c.13.7.63.004,0,0.011
c.13.7.63.005,0,0.011
c.13.7.63.006,0,0.011
c.13.7.63.007,0,0.007
c.13.7.63.008,0,0.01
c.13.7.63.009,0,0.011
c.13.7.63.010,0,0.007
c.13.7.67.001,0,0.01
c.13.7.70.001,0,0.01
c.13.7.70.002,0,0.01
c.13.7.71.001,0,0.011
c.13.7.71.002,0,0.01
c.13.7.71.003,0,0.011
c.13.7.71.004,0,0.01
c.13.7.71.005,0,0.019
c.13.7.71.006,0,0.01
c.13.7.72.001,0,0.01
c.13.7.72.002,0,0.011
c.13.7.74.001,0,0.013
c.13.7.74.002,0,0.013
c.13.7.74.003,0,0.013
c.13.7.74.004,0,0.029
c.13.7.74.005,0,0.029
c.13.7.77.002,0,0.019
c.13.7.77.003,0,0.019
c.13.7.77.004,0,0.033
c.13.7.77.005,0,0.031
c.13.7.77.006,0,0.028
c.13.7.82.001,0,0.01
c.13.7.82.002,0,0.011
c.13.7.85.001,0,0.015
c.13.7.86.001,0,0.022
c.13.7.91.001,0,0.013
c.13.7.91.002,0,0.031
c.13.7.91.003,0,0.051
c.13.7.91.004,0,0.012
c.13.7.91.005,0,0.031
c.13.7.91.006,0,0.032
c.13.7.91.007,0,0.028
c.18.4.1.001,0,0.011
c.18.4.1.002,0,0.011
c.18.4.1.003,0,0.011
c.18.4.1.004,0,0.011
c.18.4.1.005,0,0.011
c.18.4.1.006,0,0.011
c.18.4.1.007,0,0.011
c.18.4.1.008,0,0.011
c.18.4.1.009,0,0.012
c.18.4.1.010,0,0.012
c.18.4.1.011,0,0.012
c.18.4.1.012,0,0.012
c.18.4.1.013,0,0.012
c.18.4.1.014,0,0.012
c.18.4.1.015,0,0.011
c.18.4.1.016,1,0.011
c.18.4.1.017,0,0.011
c.18.4.1.018,0,0.01
c.18.4.1.019,0,0.01
c.18.4.1.020,0,0.01
c.18.4.1.021,0,0.01
c.18.4.1.022,0,0.01
c.18.4.1.023,0,0.01
c.18.4.1.024,0,0.01
c.18.4.1.025,0,0.01
c.18.4.1.026,0,0.01
c.18.4.1.027,0,0.01
c.18.4.1.028,0,0.01
c.18.4.10.001,0,0.007
c.18.4.10.002,0,0.005
c.18.4.10.003,0,0.005
c.18.4.10.004,0,0.005
c.18.4.10.005,0,0.005
c.18.4.10.006,0,0.005
c.18.4.10.007,0,0.007
c.18.4.10.008,0,0.004
c.18.4.10.009,1,0.004
c.18.4.10.010,0,0.004
c.18.4.10.011,0,0.004
c.18.4.10.012,0,0.009
c.18.4.10.013,0,0.009
c.18.4.10.014,0,0.005
c.18.4.10.015,0,0.003
c.18.4.10.016,0,0.003
c.18.4.10.017,0,0.003
c.18.4.10.018,0,0.005
c.18.4.10.019,0,0.008
c.18.4.10.020,0,0.008
c.18.4.10.021,0,0.008
c.18.4.10.022,0,0.008
c.18.4.10.023,0,0.008
c.18.4.10.024,0,0.008
c.18.4.10.025,0,0.008
c.18.4.10.026,0,0.008
c.18.4.10.027,0,0.008
c.18.4.10.028,0,0.008
c.18.4.10.029,0,0.008
c.18.4.10.030,0,0.008
c.18.4.10.031,0,0.008
c.18.4.10.032,0,0.008
c.18.4.10.033,0,0.008
c.18.4.10.034,0,0.008
c.18.4.10.035,0,0.008
c.18.4.10.036,0,0.008
c.18.4.10.037,0,0.008
c.18.4.10.038,0,0.008
c.18.4.10.039,0,0.008
c.18.4.10.040,0,0.008
c.18.4.10.041,0,0.004
c.18.4.10.042,0,0.004
c.18.4.10.043,0,0.004
c.18.4.10.044,0,0.008
c.18.4.11.004,0,0.006
c.18.4.11.005,0,0.006
c.18.4.11.006,0,0.006
c.18.4.11.007,0,0.006
c.18.4.11.008,0,0.006
c.18.4.11.009,0,0.006
c.18.4.11.010,0,0.005
c.18.4.11.011,0,0.004
c.18.4.11.012,0,0.004
c.18.4.11.013,0,0.004
c.18.4.11.014,0,0.012
c.18.4.11.015,0,0.005
c.18.4.11.016,0,0.005
c.18.4.11.017,0,0.005
c.18.4.11.018,0,0.007
c.18.4.11.019,0,0.007
c.18.4.11.020,0,0.007
c.18.4.11.021,0,0.007
c.18.4.11.022,0,0.007
c.18.4.11.023,0,0.007
c.18.4.11.024,0,0.007
c.18.4.11.025,0,0.007
c.18.4.11.026,0,0.007
c.18.4.11.027,0,0.007
c.18.4.11.028,0,0.007
c.18.4.11.029,0,0.007
c.18.4.11.030,0,0.007
c.18.4.11.031,0,0.007
c.18.4.11.032,0,0.007
c.18.4.11.033,0,0.007
c.18.4.11.034,0,0.007
c.18.4.11.035,0,0.008
c.18.4.11.036,0,0.006
c.18.4.11.037,0,0.006
c.18.4.11.038,0,0.006
c.18.4.11.039,0,0.006
c.18.4.11.040,0,0.006
c.18.4.11.041,0,0.006
c.18.4.11.042,0,0.006
c.18.4.11.043,0,0.006
c.18.4.11.044,0,0.006
c.18.4.11.045,0,0.006
c.18.4.11.046,0,0.006
c.18.4.11.047,0,0.006
c.18.4.11.048,0,0.006
c.18.4.11.049,0,0.006
c.18.4.11.050,0,0.006
c.18.4.11.051,0,0.006
c.18.4.11.052,0,0.006
c.18.4.11.053,0,0.006
c.18.4.11.054,0,0.006
c.18.4.11.055,0,0.006
c.18.4.11.056,0,0.006
c.18.4.11.057,0,0.011
c.18.4.11.058,0,0.006
c.18.4.11.059,0,0.011
c.18.4.11.060,0,0.007
c.18.4.12.001,0,0.009
c.18.4.12.002,0,0.006
c.18.4.12.003,0,0.011
c.18.4.12.004,0,0.011
c.18.4.12.005,0,0.014
c.18.4.12.006,0,0.014
c.18.4.12.007,0,0.013
c.18.4.13.001,0,0.007
c.18.4.13.002,0,0.005
c.18.4.13.003,0,0.005
c.18.4.13.004,0,0.004
c.18.4.13.005,0,0.005
c.18.4.13.006,0,0.005
c.18.4.13.007,0,0.005
c.18.4.13.008,0,0.005
c.18.4.13.009,0,0.005
c.18.4.13.010,0,0.004
c.18.4.13.011,0,0.004
c.18.4.13.012,0,0.004
c.18.4.15.001,0,0.014
c.18.4.15.002,0,0.004
c.18.4.15.003,0,0.004
c.18.4.15.004,0,0.004
c.18.4.15.005,0,0.004
c.18.4.15.006,0,0.004
c.18.4.15.007,0,0.004
c.18.4.16.001,0,0.009
c.18.4.16.002,0,0.006
c.18.4.16.003,0,0.008
c.18.4.16.004,0,0.008
c.18.4.16.005,0,0.005
