CRSP2_Unique_Curve_ID,Speed_Limit,Length_feet,Radius_feet,Area_Type,Warning_Sign_Type,Speed_Advisory_Sign,Advisory_Speed,Delineation,ADT_vpd,Rumble_Strips,Mumble,Lane_Width,Shoulder_Type,Outside_Paved_Shoulder_Width,Outside_Gravel_Shoulder_Width,Total_Outside_Shoulder_Width,Adjacent_Intersection,Visual_Trap,Curve_Lighting,Isolated_Curve,Outside_Edge_Risk,Redraw_Flag,Urban_Rural,Total_Xsect_width,Severe_Crashes
c.13.4.1.001,55,861.4091015,5618.579576,rural,none,none,0,0,2700,0,0,11,composite,3,3,6,intersection,0,0,yes,1,no,rural,34,0
c.13.4.1.002,55,1351.653217,3475.833445,rural,none,none,0,0,1400,0,0,11,composite,3,3,6,intersection,0,0,no,2c,yes,rural,34,0
c.13.4.1.003,55,1097.373322,4486.15828,rural,none,none,0,0,1400,0,0,11,composite,3,3,6,none,0,0,no,1,no,rural,34,0
c.13.4.1.004,55,922.0341768,1046.709351,rural,curve warning,none,0,0,1400,0,0,11,composite,2,2,4,intersection,0,0,no,2c,no,rural,30,0
c.13.4.1.007,45,2123.581049,1965.347832,rural,none,none,0,0,1400,0,0,11,composite,4,2,6,none,0,0,no,2c,no,rural,34,0
c.13.4.1.008,45,527.3720823,1253.002009,rural,none,none,0,0,1400,0,0,11,composite,4,4,8,none,0,0,no,2c,no,rural,38,0
c.13.4.1.009,45,1685.240289,8965.577715,rural,none,none,0,0,1400,0,0,12,composite,4,4,8,none,0,0,no,2c,no,rural,40,0
c.13.4.1.010,55,941.6558792,1641.033517,rural,none,none,0,0,1400,0,0,11,composite,4,4,8,none,0,0,no,2c,no,rural,38,0
c.13.4.1.011,55,1419.892654,1625.885879,rural,none,none,0,0,1400,0,0,11,composite,4,3,7,intersection,0,0,no,1,no,rural,36,0
c.13.4.1.012,55,1396.619793,1600.643096,rural,none,none,0,0,1400,0,0,11,composite,4,4,8,intersection,0,0,no,1,no,rural,38,0
c.13.4.1.013,55,761.1765874,1367.129309,rural,curve warning,none,0,0,610,0,0,11,composite,4,3,7,none,0,0,no,1,no,rural,36,0
c.13.4.10.001,55,908.8620356,865.0886104,rural,none,none,0,0,780,0,0,11,composite,2,2,4,intersection,0,0,yes,unknown,no,rural,30,0
c.13.4.10.002,55,557.7826829,3182.719918,rural,none,none,0,0,3200,0,0,11,composite,2,2,4,none,0,0,yes,unknown,no,rural,30,0
c.13.4.10.003,55,1058.208677,2150.206762,rural,none,none,0,0,3200,0,0,12,composite,2,2,4,none,0,0,yes,unknown,no,rural,32,0
c.13.4.10.004,55,3116.827453,7189.823065,rural,none,none,0,0,3200,0,0,12,composite,2,2,4,none,0,0,no,unknown,no,rural,32,0
c.13.4.10.008,55,478.1902795,964.5964876,rural,s-curve,none,0,0,2450,0,0,12,composite,2,2,4,none,0,0,no,2c,no,rural,32,0
c.13.4.10.009,45,474.8112202,664.9409662,rural,s-curve,none,0,1,2450,0,0,12,composite,2,2,4,none,0,0,no,2c,no,rural,32,0
c.13.4.10.010,55,398.4447377,1041.607645,rural,curve warning,none,0,0,2450,0,0,12,composite,2,2,4,none,0,0,no,2c,no,rural,32,0
c.13.4.10.011,55,847.0931351,1599.051888,rural,curve warning,none,0,0,3200,0,0,12,composite,8,1,9,none,0,0,no,1,no,rural,42,0
c.13.4.10.012,55,1060.119571,1926.975127,rural,none,none,0,0,3500,0,0,12,paved,8,0,8,intersection,0,0,no,2c,no,rural,40,0
c.13.4.11.001,55,689.0709344,1421.624061,rural,curve warning,none,0,0,980,0,0,11,gravel,0,3,3,none,0,0,no,1,no,rural,28,0
c.13.4.11.002,55,735.3445086,1223.448202,rural,s-curve,none,0,0,980,0,0,11,gravel,0,3,3,none,0,0,no,2c,no,rural,28,0
c.13.4.11.003,55,445.1907296,1530.446243,rural,s-curve,none,0,0,980,0,0,11,composite,1,3,4,none,0,0,no,1,no,rural,30,0
c.13.4.11.004,55,1026.840048,1237.322874,rural,curve warning,none,0,0,610,0,0,11,composite,2,3,5,intersection,0,0,no,2c,no,rural,32,0
c.13.4.11.005,55,398.6335357,1597.096508,rural,curve warning,none,0,0,980,0,0,11,composite,2,3,5,none,0,0,no,2c,no,rural,32,0
c.13.4.11.006,55,667.0807436,1120.413422,rural,curve warning,none,0,0,980,0,0,11,composite,2,2,4,none,0,0,no,1,no,rural,30,1
c.13.4.11.007,55,412.2950645,2039.23891,rural,s-curve,none,0,0,980,0,0,11,composite,2,2,4,none,0,0,no,2c,no,rural,30,0
c.13.4.11.008,55,383.0188572,373.9796708,rural,none,none,0,0,520,0,0,11,composite,2,3,5,none,0,0,yes,2c,yes,rural,32,0
c.13.4.12.001,55,1165.456993,737.0013359,rural,curve warning,present,45,0,770,0,0,11,composite,3,2,5,none,0,0,yes,1,no,rural,32,0
