CRSP_ID,County_Name,Start_Description,End_Description
S.73.4.82.001,Stearns,Mill St N,Mill St
S.73.4.66.002,Stearns,0.05 miles SW E James St,E James St
S.56.4.51.001,Otter Tail,2nd St SW,CSAH 80
S.09.4.4.003,Carlton,CR 6,CR 61
024-010,Freeborn,CSAH 45,CSAH 31
S.47.4.38.001,Meeker,Saturn St,MNTH 4/Milky Way St
S.13.4.14.001,Chisago,T-Intersection of Stacy Trail and Lincold Rd,Intersection of Co Hwy 8 and Co Hwy 14
033-060,Freeborn,BROADWAY,DM&E RR
S.13.4.14.003,Chisago,Intersection of Lincoln Rd and Jensent Rd,Intersection of Main St and Grand Ave
S.25.4.5.001,Goodhue,State Highway 58,Territorial Road
S.56.4.91.001,Otter Tail,S 2nd Ave,Railway Ave
S.73.4.30.002,Stearns,Western St,0.3miles E of Western St
S.56.4.99.001,Otter Tail,2nd Ave SW,1st St W
044-020,Freeborn,JOHNSON ST NORTH AND EAST,DM&E RR
S.56.4.98.001,Otter Tail,2nd Ave SW,1st Ave SW
S.13.4.19.002,Chisago,T-Intersection of Falcon Ave N and Fawn Lake Dr N,.26 Miles East of Intersection Stacy Trail and Forest Blvd
S.43.4.2.004,McLeod,McLeod CTH 10/Lake Ave S,MNTH 7
S.43.4.102.001,McLeod,3rd St,Market St/2nd St N
S.13.4.20.001,Chisago,Intersection of Lake Blvd and N Lakes Trail,Intersection of 4th Ave N and N Lakes Trail
051-020,Freeborn,MAIN ST-POWERS AV,POWERS AV-HEMMINGSEN AVE.
S.13.4.20.003,Chisago,T-Intersection of Victory Ln and Furuby Rd,Intersection of 1st St and Bench St
012-020,Freeborn,S LIM CONGER,CSAH 17
040-010,Freeborn,CSAH 25,MCKINLEY ST MANCHSTR
005-040,Freeborn,TH 65,CSAH 13
S.13.4.22.001,Chisago,T-Intersection of Forest Blvd and Wyoming Trail,Intersection of E Viking Blvd and Wyoming Trail
S.69.4.24.008,St. Louis,CSAH 24,E vermilion Dr
S.56.4.95.001,Otter Tail,MNTH 29,CSAH 42
S.13.4.24.001,Chisago,T-Intersection of Old Towne Rd and Chisago Blvd,Intersection of Lake Blvd and Bennet Rd
S.43.4.16.001,McLeod,MNTH 7,McLeod CTH 2
S.13.4.25.002,Chisago,T-Intersection of 289th Ct and Olinda Trail,Intersection of Olinda Trail and Lake Blvd
S.69.7.571.001,St. Louis,Solway Rd,S. Pike Lake Rd
031-040,Freeborn,C.N.W. RAILROAD,CSAH 45
S.13.4.3.002,Chisago,Intersection of Government Rd and 530th St,T-Intersection of River Rd and 530th St
S.13.4.30.001,Chisago,Intersection of E Viking Blvd and Forest Blvd,T-Intersection of Forest Blvd and 4th Ave
S.13.4.30.002,Chisago,T-Intersection of Forest Blvd and 4th Ave,T-Intersection of Forest Blvd and 300th St
S.13.4.30.003,Chisago,T-Intersection of Forest Blvd and 300th St,T-Intersection of Forest Blvd and 315th St
S.13.4.30.004,Chisago,T-Intersection of 315th St and Forest Blvd,Intersection of 372nd St and Forest Blvd
S.13.4.30.005,Chisago,Intersection of 372nd St and Forest Blvd,Intersection of 400th St and Forest Blvd
S.86.4.60.001,Wright,Nelson Blvd,Buffalo Ave N
S.69.9.3078.001,St. Louis,W Norway St,E Westwood Dr
S.73.4.63.001,Stearns,Elm St,Hwy 55
S.13.4.32.002,Chisago,Intersection of N Main St and Louise Ave,.24 Miles West of Intersection of N Main St and Louise Ave
013-030,Freeborn,TH 65,SHELL ROCK RIVER
S.13.4.37.001,Chisago,Intersection of 310th St and Oasis Rd,T-Intersection of 310th St and Pleasant Valley Rd
113-010,Freeborn,CSAH #34,RAILROAD IN OAKLAND
S.13.4.39.001,Chisago,Intersection of W 4th St and Fairfield Ave,.4 Miles North of Intersection of W 4th St and Fairfield Ave
S.13.4.39.002,Chisago,.4 Miles North of Intersection of W 4th St and Fairfield Ave,Intersection of 530th St and Fairfield Ave
S.56.4.90.001,Otter Tail,S Lincoln Ave,S Lake Ave
S.13.4.4.002,Chisago,Intersection of Rush Point Dr and Acacia Trail,T-Intersection of N Lake Dr and Acacia Trail
S.73.4.61.001,Stearns,Co Rd 13,Co Rd 13
S.13.4.5.002,Chisago,"",""
S.13.4.6.001,Chisago,.82 Miles West of T-Intersection of Basswood Rd W and 500th St W,T-Intersection of Acacia Trail and 492nd St
S.86.4.6.003,Wright,15th St,6th St
S.13.4.7.002,Chisago,Rush Point Dr overpass I-35,Intersection of W 8th St and S Bremer Ave
S.13.4.8.001,Chisago,Intersection of Cedarcrest Trail and 325th Ave NE,T-Intersection of Stark Rd and Cedarcrest Trail
S.13.4.9.001,Chisago,T-Intersection of Lake Blvd and Andrews Ave,T-Intersection of Park Trail and Oasis Rd
S.56.4.35.002,Otter Tail,CSAH 82,Court St
S.43.4.111.001,McLeod,USTH 212,MNTH 7
039-010,Freeborn,CSAH 16,RIVER ST
S.69.4.118.001,St. Louis,West Street,CSAH 117
S.13.4.9.006,Chisago,T-Intersection of Evergreen Ave and Rush Point Dr,T-Intersection of Evergreen Ave and Evergreen Ct
S.86.7.143.001,Wright,112th St NW,Co Rd 8 NW
S.13.7.54.002,Chisago,Intersection of W 4th St and Fairfield Ave,T-Intersection of Fairfield Dr and Rush Point Dr
