CRSP_ID,variable,value
S.73.4.82.001,County_Name,Stearns
S.73.4.66.002,County_Name,Stearns
S.56.4.51.001,County_Name,Otter Tail
S.09.4.4.003,County_Name,Carlton
024-010,County_Name,Freeborn
S.47.4.38.001,County_Name,Meeker
S.13.4.14.001,County_Name,Chisago
033-060,County_Name,Freeborn
S.13.4.14.003,County_Name,Chisago
S.25.4.5.001,County_Name,Goodhue
S.56.4.91.001,County_Name,Otter Tail
S.73.4.30.002,County_Name,Stearns
S.56.4.99.001,County_Name,Otter Tail
044-020,County_Name,Freeborn
S.56.4.98.001,County_Name,Otter Tail
S.13.4.19.002,County_Name,Chisago
S.43.4.2.004,County_Name,McLeod
S.43.4.102.001,County_Name,McLeod
S.13.4.20.001,County_Name,Chisago
051-020,County_Name,Freeborn
S.13.4.20.003,County_Name,Chisago
012-020,County_Name,Freeborn
040-010,County_Name,Freeborn
005-040,County_Name,Freeborn
S.13.4.22.001,County_Name,Chisago
S.69.4.24.008,County_Name,St. Louis
S.56.4.95.001,County_Name,Otter Tail
S.13.4.24.001,County_Name,Chisago
S.43.4.16.001,County_Name,McLeod
S.13.4.25.002,County_Name,Chisago
S.69.7.571.001,County_Name,St. Louis
031-040,County_Name,Freeborn
S.13.4.3.002,County_Name,Chisago
S.13.4.30.001,County_Name,Chisago
S.13.4.30.002,County_Name,Chisago
S.13.4.30.003,County_Name,Chisago
S.13.4.30.004,County_Name,Chisago
S.13.4.30.005,County_Name,Chisago
S.86.4.60.001,County_Name,Wright
S.69.9.3078.001,County_Name,St. Louis
S.73.4.63.001,County_Name,Stearns
S.13.4.32.002,County_Name,Chisago
013-030,County_Name,Freeborn
S.13.4.37.001,County_Name,Chisago
113-010,County_Name,Freeborn
S.13.4.39.001,County_Name,Chisago
S.13.4.39.002,County_Name,Chisago
S.56.4.90.001,County_Name,Otter Tail
S.13.4.4.002,County_Name,Chisago
S.73.4.61.001,County_Name,Stearns
S.13.4.5.002,County_Name,Chisago
S.13.4.6.001,County_Name,Chisago
S.86.4.6.003,County_Name,Wright
S.13.4.7.002,County_Name,Chisago
S.13.4.8.001,County_Name,Chisago
S.13.4.9.001,County_Name,Chisago
S.56.4.35.002,County_Name,Otter Tail
S.43.4.111.001,County_Name,McLeod
039-010,County_Name,Freeborn
S.69.4.118.001,County_Name,St. Louis
S.13.4.9.006,County_Name,Chisago
S.86.7.143.001,County_Name,Wright
S.13.7.54.002,County_Name,Chisago
S.13.7.55.001,County_Name,Chisago
S.13.7.55.002,County_Name,Chisago
031-030,County_Name,Freeborn
S.43.4.6.001,County_Name,McLeod
S.13.7.59.001,County_Name,Chisago
S.49.4.102.001,County_Name,Morrison
076-010,County_Name,Freeborn
S.73.4.55.001,County_Name,Stearns
S.69.7.945.001,County_Name,St. Louis
S.13.7.67.001,County_Name,Chisago
S.69.9.3050.001,County_Name,St. Louis
S.13.7.68.001,County_Name,Chisago
S.86.7.153.001,County_Name,Wright
HEN.176,County_Name,Hennepin
S.04.4.47.002,County_Name,Beltrami
014-011,County_Name,Freeborn
S.47.4.39.001,County_Name,Meeker
S.13.7.76.001,County_Name,Chisago
S.13.7.77.001,County_Name,Chisago
S.04.4.93.001,County_Name,Beltrami
S.13.7.78.001,County_Name,Chisago
S.13.7.79.001,County_Name,Chisago
045-110,County_Name,Freeborn
S.13.7.81.003,County_Name,Chisago
S.69.9.3077.001,County_Name,St. Louis
S.13.7.81.005,County_Name,Chisago
S.47.4.4.002,County_Name,Meeker
S.73.4.57.001,County_Name,Stearns
S.13.7.86.002,County_Name,Chisago
S.43.4.103.001,County_Name,McLeod
S.47.4.42.001,County_Name,Meeker
S.69.4.10.001,County_Name,St. Louis
S.69.4.10.002,County_Name,St. Louis
S.73.4.59.001,County_Name,Stearns
S.69.4.100.002,County_Name,St. Louis
035-031,County_Name,Freeborn
S.69.4.101.002,County_Name,St. Louis
S.73.7.186.003,County_Name,Stearns
025-021,County_Name,Freeborn
S.69.4.103.002,County_Name,St. Louis
S.69.4.103.008,County_Name,St. Louis
S.69.4.104.001,County_Name,St. Louis
S.69.4.106.001,County_Name,St. Louis
S.73.7.197.002,County_Name,Stearns
S.69.4.107.001,County_Name,St. Louis
S.69.4.108.001,County_Name,St. Louis
S.69.4.108.002,County_Name,St. Louis
S.69.4.117.001,County_Name,St. Louis
S.69.4.109.001,County_Name,St. Louis
S.73.4.62.001,County_Name,Stearns
S.69.4.11.002,County_Name,St. Louis
S.04.4.94.001,County_Name,Beltrami
028-010,County_Name,Freeborn
S.73.4.56.001,County_Name,Stearns
S.69.4.110.005,County_Name,St. Louis
HEN.16,County_Name,Hennepin
S.49.4.14.002,County_Name,Morrison
S.47.4.43.001,County_Name,Meeker
S.69.4.114.001,County_Name,St. Louis
S.43.4.116.001,County_Name,McLeod
S.69.9.3144.001,County_Name,St. Louis
S.69.4.116.001,County_Name,St. Louis
S.69.4.116.002,County_Name,St. Louis
S.69.4.116.003,County_Name,St. Louis
010-010,County_Name,Freeborn
S.47.4.27.002,County_Name,Meeker
051-010,County_Name,Freeborn
S.69.4.119.001,County_Name,St. Louis
S.69.4.12.001,County_Name,St. Louis
S.73.4.79.001,County_Name,Stearns
S.09.4.55.001,County_Name,Carlton
S.69.4.121.001,County_Name,St. Louis
S.49.7.252.001,County_Name,Morrison
S.69.9.3130.001,County_Name,St. Louis
S.73.7.170.002,County_Name,Stearns
S.69.7.888.001,County_Name,St. Louis
S.69.0.72.001,County_Name,St. Louis
S.55.4.5.002,County_Name,Olmsted
S.47.4.11.002,County_Name,Meeker
S.69.9.3045.001,County_Name,St. Louis
S.69.4.132.001,County_Name,St. Louis
S.69.9.3091.001,County_Name,St. Louis
016-030,County_Name,Freeborn
S.56.4.67.004,County_Name,Otter Tail
S.69.9.3082.001,County_Name,St. Louis
HEN.78,County_Name,Hennepin
S.86.4.57.001,County_Name,Wright
014-010,County_Name,Freeborn
S.69.4.138.002,County_Name,St. Louis
S.69.4.139.001,County_Name,St. Louis
S.69.4.14.001,County_Name,St. Louis
S.69.4.14.002,County_Name,St. Louis
S.09.4.16.001,County_Name,Carlton
S.69.4.142.001,County_Name,St. Louis
S.69.4.144.001,County_Name,St. Louis
S.69.4.148.001,County_Name,St. Louis
S.73.4.65.003,County_Name,Stearns
S.69.4.15.002,County_Name,St. Louis
S.69.4.150.001,County_Name,St. Louis
S.69.4.151.001,County_Name,St. Louis
S.69.4.152.001,County_Name,St. Louis
S.69.4.153.001,County_Name,St. Louis
S.69.4.154.001,County_Name,St. Louis
S.69.4.155.001,County_Name,St. Louis
S.69.4.156.001,County_Name,St. Louis
S.69.4.158.001,County_Name,St. Louis
041-010,County_Name,Freeborn
S.69.4.16.002,County_Name,St. Louis
S.69.9.3421.001,County_Name,St. Louis
S.69.4.24.001,County_Name,St. Louis
S.18.4.33.001,County_Name,Crow Wing
034-030,County_Name,Freeborn
S.43.7.78.001,County_Name,McLeod
S.69.4.17.001,County_Name,St. Louis
S.86.4.7.005,County_Name,Wright
S.56.4.100.001,County_Name,Otter Tail
S.73.4.68.001,County_Name,Stearns
HEN.90,County_Name,Hennepin
S.86.4.5.005,County_Name,Wright
S.49.4.34.002,County_Name,Morrison
S.18.7.115.001,County_Name,Crow Wing
S.73.4.80.001,County_Name,Stearns
081-010,County_Name,Freeborn
S.43.4.9.001,County_Name,McLeod
S.73.4.53.001,County_Name,Stearns
043-010,County_Name,Freeborn
S.69.9.3146.001,County_Name,St. Louis
S.47.4.2.002,County_Name,Meeker
S.73.4.9.001,County_Name,Stearns
S.69.4.24.003,County_Name,St. Louis
S.69.4.24.004,County_Name,St. Louis
S.69.9.8115.001,County_Name,St. Louis
S.18.4.11.002,County_Name,Crow Wing
S.73.4.64.001,County_Name,Stearns
S.04.4.29.001,County_Name,Beltrami
S.18.7.110.001,County_Name,Crow Wing
S.73.4.65.002,County_Name,Stearns
S.56.4.80.002,County_Name,Otter Tail
S.69.4.25.006,County_Name,St. Louis
044-010,County_Name,Freeborn
S.43.4.9.005,County_Name,McLeod
017-030,County_Name,Freeborn
S.69.4.28.001,County_Name,St. Louis
S.73.4.9.007,County_Name,Stearns
S.69.4.29.003,County_Name,St. Louis
S.56.4.35.008,County_Name,Otter Tail
S.56.4.46.001,County_Name,Otter Tail
S.69.9.3076.001,County_Name,St. Louis
S.47.4.25.001,County_Name,Meeker
S.43.4.7.005,County_Name,McLeod
S.69.4.30.001,County_Name,St. Louis
S.69.4.32.001,County_Name,St. Louis
S.49.7.285.001,County_Name,Morrison
S.69.4.34.001,County_Name,St. Louis
S.69.4.124.001,County_Name,St. Louis
S.73.4.66.001,County_Name,Stearns
S.43.4.4.002,County_Name,McLeod
S.69.4.37.001,County_Name,St. Louis
S.69.9.3049.001,County_Name,St. Louis
S.69.9.3013.001,County_Name,St. Louis
S.69.4.38.002,County_Name,St. Louis
S.49.4.27.001,County_Name,Morrison
S.69.4.4.001,County_Name,St. Louis
S.43.4.109.001,County_Name,McLeod
S.09.4.12.002,County_Name,Carlton
045-090,County_Name,Freeborn
S.56.7.145.001,County_Name,Otter Tail
S.69.4.126.001,County_Name,St. Louis
S.73.4.11.002,County_Name,Stearns
S.73.4.2.002,County_Name,Stearns
S.69.4.40.002,County_Name,St. Louis
S.55.4.12.000,County_Name,Olmsted
S.73.7.123.001,County_Name,Stearns
033-040,County_Name,Freeborn
S.86.4.5.006,County_Name,Wright
S.09.4.13.004,County_Name,Carlton
042-010,County_Name,Freeborn
035-030,County_Name,Freeborn
001-020,County_Name,Freeborn
S.86.4.8.004,County_Name,Wright
S.49.4.12.002,County_Name,Morrison
S.69.4.47.001,County_Name,St. Louis
S.56.4.12.001,County_Name,Otter Tail
S.69.7.396.001,County_Name,St. Louis
S.69.4.48.001,County_Name,St. Louis
S.69.4.48.002,County_Name,St. Louis
S.56.4.1.006,County_Name,Otter Tail
S.49.4.101.001,County_Name,Morrison
S.69.9.3066.001,County_Name,St. Louis
HEN.83,County_Name,Hennepin
S.69.4.49.002,County_Name,St. Louis
S.69.4.5.001,County_Name,St. Louis
S.73.4.9.005,County_Name,Stearns
S.13.4.1.002,County_Name,Chisago
HEN.56,County_Name,Hennepin
S.69.7.496.001,County_Name,St. Louis
034-061,County_Name,Freeborn
025-020,County_Name,Freeborn
S.56.4.8.001,County_Name,Otter Tail
S.69.9.3074.001,County_Name,St. Louis
S.69.7.999.001,County_Name,St. Louis
S.69.4.51.001,County_Name,St. Louis
S.73.7.157.003,County_Name,Stearns
S.69.4.52.001,County_Name,St. Louis
026-031,County_Name,Freeborn
S.69.4.54.001,County_Name,St. Louis
033-070,County_Name,Freeborn
S.04.4.30.002,County_Name,Beltrami
S.55.4.10.001,County_Name,Olmsted
S.69.4.56.003,County_Name,St. Louis
S.69.4.57.001,County_Name,St. Louis
S.69.4.8.001,County_Name,St. Louis
S.69.4.59.001,County_Name,St. Louis
S.69.4.6.001,County_Name,St. Louis
S.69.7.789.001,County_Name,St. Louis
S.69.4.6.003,County_Name,St. Louis
S.18.4.1.004,County_Name,Crow Wing
S.73.4.58.001,County_Name,Stearns
S.69.4.62.001,County_Name,St. Louis
024-030,County_Name,Freeborn
S.43.7.83.001,County_Name,McLeod
S.69.7.651.001,County_Name,St. Louis
