CRSP_ID,case,model_type,label,label_prob,model_r2,model_intercept,model_prediction,feature,feature_value,feature_weight,feature_desc,Severe_Crash_Count,County_Name,Start_Description,End_Description
001-010,1298,classification,pred,0.0923728235590928,0.173436855917597,0.419804102523619,0.106183092252406,Median_Width,0,0.232528285758625,Median_Width <= 3.2,0,Freeborn,CSAH 18,BR # 24511
001-010,1298,classification,pred,0.0923728235590928,0.173436855917597,0.419804102523619,0.106183092252406,Segment_Cross_Section,2,-0.175651308698121,Segment_Cross_Section = 2-lane,0,Freeborn,CSAH 18,BR # 24511
001-010,1298,classification,pred,0.0923728235590928,0.173436855917597,0.419804102523619,0.106183092252406,MVMT_5yrMillionVMT,1.68,-0.170078188327411,0.80 < MVMT_5yrMillionVMT <= 1.95,0,Freeborn,CSAH 18,BR # 24511
001-010,1298,classification,pred,0.0923728235590928,0.173436855917597,0.419804102523619,0.106183092252406,Seg_CrossSection_Design,2,-0.112170671055906,Seg_CrossSection_Design = 2-lane undivided,0,Freeborn,CSAH 18,BR # 24511
001-010,1298,classification,pred,0.0923728235590928,0.173436855917597,0.419804102523619,0.106183092252406,Rumble_Strips,4,-0.0616840190503231,Rumble_Strips = none,0,Freeborn,CSAH 18,BR # 24511
001-010,1298,classification,pred,0.0923728235590928,0.173436855917597,0.419804102523619,0.106183092252406,Farm_Access_Count,30,0.0518237183315413,26.6 < Farm_Access_Count,0,Freeborn,CSAH 18,BR # 24511
001-010,1298,classification,pred,0.0923728235590928,0.173436855917597,0.419804102523619,0.106183092252406,Density_Curve,0.22,-0.0433285596116758,Density_Curve <= 0.43,0,Freeborn,CSAH 18,BR # 24511
001-010,1298,classification,pred,0.0923728235590928,0.173436855917597,0.419804102523619,0.106183092252406,Centerline_Striping,2,0.0426272352698227,Centerline_Striping = present,0,Freeborn,CSAH 18,BR # 24511
001-012,926,classification,pred,0.075344896964959,0.137540969055122,0.231467682119565,0.161874978797933,Segment_Cross_Section,2,-0.236114069392284,Segment_Cross_Section = 2-lane,0,Freeborn,BRIDGE #24511,TH 65
001-012,926,classification,pred,0.075344896964959,0.137540969055122,0.231467682119565,0.161874978797933,Median_Type,4,0.204995916979508,Median_Type = undivided,0,Freeborn,BRIDGE #24511,TH 65
001-012,926,classification,pred,0.075344896964959,0.137540969055122,0.231467682119565,0.161874978797933,MVMT_5yrMillionVMT,1.05,-0.16788391626717,0.80 < MVMT_5yrMillionVMT <= 1.95,0,Freeborn,BRIDGE #24511,TH 65
001-012,926,classification,pred,0.075344896964959,0.137540969055122,0.231467682119565,0.161874978797933,Edgeline_Striping,2,-0.0747481431785458,Edgeline_Striping = present,0,Freeborn,BRIDGE #24511,TH 65
001-012,926,classification,pred,0.075344896964959,0.137540969055122,0.231467682119565,0.161874978797933,Rumble_Strips,4,0.0601047527661959,Rumble_Strips = none,0,Freeborn,BRIDGE #24511,TH 65
001-012,926,classification,pred,0.075344896964959,0.137540969055122,0.231467682119565,0.161874978797933,ADT_vpd,330,0.0385453675432079,245 < ADT_vpd <= 429,0,Freeborn,BRIDGE #24511,TH 65
001-012,926,classification,pred,0.075344896964959,0.137540969055122,0.231467682119565,0.161874978797933,Seg_CrossSection_Design,2,0.0337677731127827,Seg_CrossSection_Design = 2-lane undivided,0,Freeborn,BRIDGE #24511,TH 65
001-012,926,classification,pred,0.075344896964959,0.137540969055122,0.231467682119565,0.161874978797933,Segment_Design,3,0.0253189554249855,Segment_Design = undivided,0,Freeborn,BRIDGE #24511,TH 65
001-020,101,classification,pred,0.0563502992023351,0.207771955199866,0.153664431646756,-0.0113224600815096,MVMT_5yrMillionVMT,0.31,-0.20247593457745,MVMT_5yrMillionVMT <= 0.80,0,Freeborn,TH 65,CSAH 26
001-020,101,classification,pred,0.0563502992023351,0.207771955199866,0.153664431646756,-0.0113224600815096,Seg_CrossSection_Design,2,-0.179736757435694,Seg_CrossSection_Design = 2-lane undivided,0,Freeborn,TH 65,CSAH 26
001-020,101,classification,pred,0.0563502992023351,0.207771955199866,0.153664431646756,-0.0113224600815096,Median_Width,0,0.150913351595658,Median_Width <= 3.2,0,Freeborn,TH 65,CSAH 26
001-020,101,classification,pred,0.0563502992023351,0.207771955199866,0.153664431646756,-0.0113224600815096,Mumble_Strips,2,0.109064741438606,Mumble_Strips = none,0,Freeborn,TH 65,CSAH 26
001-020,101,classification,pred,0.0563502992023351,0.207771955199866,0.153664431646756,-0.0113224600815096,Median_Type,4,0.086776665051723,Median_Type = undivided,0,Freeborn,TH 65,CSAH 26
001-020,101,classification,pred,0.0563502992023351,0.207771955199866,0.153664431646756,-0.0113224600815096,Residential_Access_Count,1,-0.064623309746082,Residential_Access_Count <= 6,0,Freeborn,TH 65,CSAH 26
001-020,101,classification,pred,0.0563502992023351,0.207771955199866,0.153664431646756,-0.0113224600815096,Farm_Access_Count,1,-0.0431287853227394,Farm_Access_Count <= 1.0,0,Freeborn,TH 65,CSAH 26
001-020,101,classification,pred,0.0563502992023351,0.207771955199866,0.153664431646756,-0.0113224600815096,Speed_Limit_mph,55,0.0371438875245844,45 < Speed_Limit_mph,0,Freeborn,TH 65,CSAH 26
001-021,1083,classification,pred,0.254929095480831,0.0956767783960453,-0.509836073796061,0.270182005902142,Seg_CrossSection_Design,2,0.137518971371793,Seg_CrossSection_Design = 2-lane undivided,0,Freeborn,CSAH 26,CSAH 30
001-021,1083,classification,pred,0.254929095480831,0.0956767783960453,-0.509836073796061,0.270182005902142,Segment_Cross_Section,2,0.136792861024955,Segment_Cross_Section = 2-lane,0,Freeborn,CSAH 26,CSAH 30
001-021,1083,classification,pred,0.254929095480831,0.0956767783960453,-0.509836073796061,0.270182005902142,Median_Type,4,0.135157295268487,Median_Type = undivided,0,Freeborn,CSAH 26,CSAH 30
001-021,1083,classification,pred,0.254929095480831,0.0956767783960453,-0.509836073796061,0.270182005902142,Median_Width,0,0.126827429193731,Median_Width <= 3.2,0,Freeborn,CSAH 26,CSAH 30
001-021,1083,classification,pred,0.254929095480831,0.0956767783960453,-0.509836073796061,0.270182005902142,Mumble_Strips,2,0.112938063754413,Mumble_Strips = none,0,Freeborn,CSAH 26,CSAH 30
001-021,1083,classification,pred,0.254929095480831,0.0956767783960453,-0.509836073796061,0.270182005902142,MVMT_5yrMillionVMT,6.88,0.0883169880329801,4.21 < MVMT_5yrMillionVMT <= 10.20,0,Freeborn,CSAH 26,CSAH 30
001-021,1083,classification,pred,0.254929095480831,0.0956767783960453,-0.509836073796061,0.270182005902142,Centerline_Striping,2,0.0823295151083154,Centerline_Striping = present,0,Freeborn,CSAH 26,CSAH 30
001-021,1083,classification,pred,0.254929095480831,0.0956767783960453,-0.509836073796061,0.270182005902142,Speed_Limit_mph,55,0.0504360298830772,45 < Speed_Limit_mph,0,Freeborn,CSAH 26,CSAH 30
001-030,1677,classification,pred,0.122255956716156,0.101174547111992,-0.349011096221406,0.107122414023419,Median_Type,4,0.177994321184063,Median_Type = undivided,1,Freeborn,CSAH 30,CSAH 32 SO
001-030,1677,classification,pred,0.122255956716156,0.101174547111992,-0.349011096221406,0.107122414023419,Segment_Cross_Section,2,0.159547991524248,Segment_Cross_Section = 2-lane,1,Freeborn,CSAH 30,CSAH 32 SO
001-030,1677,classification,pred,0.122255956716156,0.101174547111992,-0.349011096221406,0.107122414023419,MVMT_5yrMillionVMT,2.14,-0.111662997510639,1.95 < MVMT_5yrMillionVMT <= 4.21,1,Freeborn,CSAH 30,CSAH 32 SO
001-030,1677,classification,pred,0.122255956716156,0.101174547111992,-0.349011096221406,0.107122414023419,Seg_CrossSection_Design,2,0.110421226647484,Seg_CrossSection_Design = 2-lane undivided,1,Freeborn,CSAH 30,CSAH 32 SO
001-030,1677,classification,pred,0.122255956716156,0.101174547111992,-0.349011096221406,0.107122414023419,Centerline_Striping,2,0.100565831615665,Centerline_Striping = present,1,Freeborn,CSAH 30,CSAH 32 SO
001-030,1677,classification,pred,0.122255956716156,0.101174547111992,-0.349011096221406,0.107122414023419,Alley_Other_Access_Count,0,-0.057277104002767,Alley_Other_Access_Count <= 1,1,Freeborn,CSAH 30,CSAH 32 SO
001-030,1677,classification,pred,0.122255956716156,0.101174547111992,-0.349011096221406,0.107122414023419,Edgeline_Striping,2,0.0543782174751189,Edgeline_Striping = present,1,Freeborn,CSAH 30,CSAH 32 SO
