CRSP2_Unique_ID,Severe_Crashes,Area_Type,Context_Zone,Int_Type,Total_Entering_ADT,Cross_Product,Design_Type,Traffic_Control,Leg_Configuration,Major_Division_Configuration,Minor_Division_Configuration,Major_Surface_Type,Minor_Surface_Type,Alignment_Skew,Railroad_Crossing,Adjacent_Curve,Adjacent_Development,Street Parking,Lighting,Previous_Stop,Major_Speed_Limit,Minor_Speed_Limit,Flashers,Overhead_Signal,Left_Turn_Phasing_Maj,Left_Turn_Phasing_Min,Maj1_Lane_Config,Maj2_Lane_Config,Sidewalk,Refuge_Island,Ped_Crossing,Bike_Facility,Ped_Indicator,Transit_Adjacent,School_Crosswalk,Legs,Max_Lanes_Cross
i.09.4.1.001,0,rural,natural,intersection,822.5,133500,traditional,thru-stop,t,undivided,undivided,paved,paved,0,none,yes,no,no,no,1,55,55,no,no,none,none,tb,tr,no,no,no,no,no,no,no,3,nv
i.09.4.1.002,0,rural,natural,intersection,455,4450,traditional,thru-stop,t,undivided,undivided,paved,gravel,0,none,no,no,no,no,1,55,55,no,no,none,none,t,t,no,no,no,no,no,no,no,3,nv
i.09.4.1.003,0,rural,natural,intersection,472.5,12237.5,traditional,thru-stop,t,undivided,undivided,paved,gravel,5,none,no,no,no,no,1,55,55,no,no,none,none,t,t,no,no,no,no,no,no,no,3,nv
i.09.4.1.007,0,rural,agriculture,intersection,2240,1145500,traditional,thru-stop,x,undivided,undivided,paved,paved,0,none,no,no,no,no,0,55,55,no,no,none,none,t,t,no,no,no,no,no,no,no,4,nv
i.09.4.1.009,0,rural,agriculture,intersection,2265,654500,traditional,thru-stop,t,undivided,undivided,paved,paved,0,none,no,no,no,yes,1,30,30,no,no,none,none,t,t,no,no,no,no,no,no,no,3,nv
i.09.4.1.013,0,small town,residential,intersection,2565,396000,traditional,thru-stop,x,undivided,undivided,paved,paved,0,none,no,yes,no,yes,0,55,55,no,no,none,none,t,t,no,no,no,no,no,no,no,4,2
i.09.4.1.019,0,rural,residential,intersection,8100,14840000,traditional,thru-stop,x,undivided,undivided,paved,paved,30,none,no,no,no,yes,1,55,30,no,no,none,none,t,t,no,no,no,no,no,no,no,4,nv
i.09.4.1.024,0,urban,mixed use,intersection,8900,16380000,traditional,all-way stop,x,undivided,undivided,paved,paved,0,none,no,yes,yes,yes,0,30,30,no,no,none,none,t,t,yes,no,no,no,no,no,no,4,2
i.09.4.1.025,1,rural,residential,intersection,1440,350300,traditional,thru-stop,t,undivided,undivided,paved,paved,0,none,no,no,no,yes,0,55,55,no,no,none,none,t,t,no,no,no,no,no,no,no,3,nv
i.09.4.1.030,0,rural,mixed use,ramp terminal,2150,0,traditional,thru-stop,x,undivided,undivided,paved,paved,0,none,no,no,no,yes,1,50,50,no,no,none,none,t,t,no,no,no,no,no,no,no,4,nv
i.09.4.1.031,0,rural,mixed use,ramp terminal,3675,2795000,traditional,thru-stop,x,undivided,undivided,paved,paved,10,none,no,no,no,yes,1,50,50,no,no,none,none,t,t,no,no,no,no,no,no,no,4,nv
i.09.4.1.036,0,urban,commercial,intersection,7500,13422500,traditional,all-way stop,x,undivided,undivided,paved,paved,0,none,no,yes,yes,yes,1,30,30,yes,no,none,none,tt,ttr,yes,no,yes,no,no,no,no,4,4
i.09.4.1.043,2,rural,natural,intersection,4125,4171250,traditional,thru-stop,x,undivided,undivided,paved,paved,0,none,no,no,no,no,1,55,55,no,no,none,none,t,t,no,no,no,no,no,no,no,4,nv
i.09.4.1.045,0,rural,natural,intersection,1610,165000,traditional,thru-stop,x,undivided,undivided,paved,gravel,0,none,no,no,no,no,1,55,55,no,no,none,none,t,t,no,no,no,no,no,no,no,4,nv
i.09.4.10.001,0,rural,commercial,intersection,9925,22837500,traditional,thru-stop,x,undivided,undivided,paved,paved,0,none,yes,no,no,no,1,55,55,no,no,none,none,t,t,no,no,no,no,no,no,no,4,nv
i.09.4.12.001,0,rural,agriculture,intersection,670,25200,traditional,thru-stop,t,undivided,undivided,paved,paved,0,none,no,no,no,no,1,55,55,no,no,none,none,t,t,no,no,no,no,no,no,no,3,nv
i.09.4.12.002,0,rural,natural,intersection,112.5,2600,traditional,thru-stop,t,undivided,undivided,paved,gravel,0,none,no,no,no,no,1,55,55,no,no,none,none,t,t,no,no,no,no,no,no,no,3,nv
i.09.4.12.006,0,rural,agriculture,intersection,407.5,21562.5,traditional,thru-stop,x,undivided,undivided,paved,gravel,0,none,no,no,no,no,0,55,55,no,no,none,none,t,t,no,no,no,no,no,no,no,4,nv
i.09.4.12.009,0,small town,residential,intersection,2187.5,624375,traditional,thru-stop,x,undivided,undivided,paved,paved,0,none,no,no,no,yes,0,55,55,no,no,none,none,tr,t,yes,no,no,no,no,no,no,4,3
i.09.4.12.011,0,rural,natural,intersection,370,13200,traditional,thru-stop,t,undivided,undivided,paved,paved,0,none,no,no,no,no,1,55,55,no,no,none,none,t,t,no,no,no,no,no,no,no,3,nv
