V1,V2,V3
i.09.4.1.001,0,0.042
i.09.4.1.002,0,0.016
i.09.4.1.003,0,0.016
i.09.4.1.007,0,0.091
i.09.4.1.009,0,0.034
i.09.4.1.013,0,0.094
i.09.4.1.019,0,0.161
i.09.4.1.025,1,0.044
i.09.4.1.030,0,0.084
i.09.4.1.031,0,0.098
i.09.4.1.043,2,0.11
i.09.4.1.045,0,0.034
i.09.4.10.001,0,0.192
i.09.4.12.001,0,0.041
i.09.4.12.002,0,0.015
i.09.4.12.006,0,0.03
i.09.4.12.009,0,0.091
i.09.4.12.011,0,0.04
i.09.4.12.015,0,0.053
i.09.4.13.004,0,0.015
i.09.4.17.002,0,0.031
i.09.4.18.006,0,0.041
i.09.4.2.020,0,0.051
i.09.4.2.027,0,0.095
i.09.4.20.001,0,0.067
i.09.4.20.004,0,0.053
i.09.4.20.007,0,0.054
i.09.4.20.008,0,0.03
i.09.4.20.009,0,0.029
i.09.4.20.010,0,0.015
i.09.4.20.011,0,0.015
i.09.4.21.001,0,0.003
i.09.4.21.005,0,0.054
i.09.4.22.001,0,0.015
i.09.4.22.009,0,0.017
i.09.4.23.001,0,0.019
i.09.4.23.004,0,0.015
i.09.4.24.001,0,0.022
i.09.4.24.002,0,0.017
i.09.4.25.001,0,0.08
i.09.4.26.006,1,0.034
i.09.4.3.001,0,0.015
i.09.4.3.004,0,0.086
i.09.4.3.006,0,0.044
i.09.4.3.016,0,0.111
i.09.4.4.001,0,0.044
i.09.4.4.002,0,0.016
i.09.4.4.004,0,0.015
i.09.4.4.005,0,0.016
i.09.4.4.007,0,0.016
i.09.4.4.012,0,0.016
i.09.4.4.014,1,0.042
i.09.4.4.017,0,0.045
i.09.4.4.018,0,0.046
i.09.4.4.019,0,0.042
i.09.4.4.021,0,0.081
i.09.4.4.022,0,0.084
i.09.4.4.023,0,0.042
i.09.4.4.025,0,0.043
i.09.4.4.028,1,0.043
i.09.4.4.032,0,0.042
i.09.4.4.035,0,0.042
i.09.4.4.037,0,0.042
i.09.4.4.040,0,0.042
i.09.4.5.004,0,0.016
i.09.4.5.005,0,0.041
i.09.4.5.006,0,0.041
i.09.4.5.008,0,0.049
i.09.4.5.009,0,0.045
i.09.4.5.014,0,0.051
i.09.4.5.016,1,0.093
i.09.4.5.018,0,0.033
i.09.4.5.020,0,0.148
i.09.4.5.021,0,0.044
i.09.4.6.001,0,0.015
i.09.4.6.004,0,0.029
i.09.4.6.007,0,0.087
i.09.4.6.008,0,0.048
i.09.4.6.010,0,0.016
i.09.4.6.012,0,0.031
i.09.4.6.013,0,0.042
i.09.4.6.014,0,0.043
i.09.4.6.016,0,0.043
i.09.4.61.020,0,0.034
i.09.4.6.031,0,0.043
i.09.4.6.035,0,0.031
i.09.4.6.041,0,0.016
i.09.4.6.043,0,0.04
i.09.4.61.025,0,0.033
i.09.4.61.026,0,0.044
i.09.4.61.032,0,0.044
i.09.4.61.036,0,0.046
i.09.4.61.046,0,0.126
i.09.4.61.052,0,0.121
i.09.4.61.061,0,0.107
i.09.4.61.066,0,0.055
i.09.4.61.067,0,0.096
i.09.4.7.002,0,0.016
i.09.4.7.010,0,0.113
i.09.4.7.011,0,0.061
i.09.4.7.012,0,0.041
i.09.4.7.019,0,0.045
i.09.4.7.020,0,0.101
i.09.4.7.023,0,0.049
i.09.4.8.001,0,0.047
i.09.4.8.002,0,0.033
i.09.4.8.003,0,0.041
i.09.4.8.004,0,0.04
i.09.4.8.008,1,0.006
i.09.4.8.012,0,0.006
i.09.4.8.014,0,0.079
i.09.4.8.015,0,0.041
i.09.4.8.016,0,0.039
i.09.7.147.001,0,0.003
i.09.4.8.021,0,0.021
i.09.4.9.001,0,0.077
i.09.7.104.002,0,0.003
i.09.7.107.001,0,0.114
i.09.7.107.002,0,0.006
i.09.7.108.001,0,0.045
i.09.7.110.001,0,0.104
i.09.7.113.002,0,0.071
i.09.7.113.003,0,0.035
i.09.7.114.012,0,0.031
i.09.7.116.001,0,0.026
i.09.7.116.002,0,0.164
i.09.7.116.003,0,0.061
i.09.7.116.005,0,0.072
i.09.7.120.001,0,0.029
i.09.7.120.005,0,0.091
i.09.7.120.006,0,0.104
i.09.7.120.008,0,0.006
i.09.7.121.004,0,0.039
i.09.7.122.001,0,0.09
i.09.7.122.003,0,0.035
i.09.7.123.002,0,0.086
i.09.7.123.006,0,0.028
i.09.7.124.001,0,0.018
i.09.7.125.001,0,0.018
i.09.7.127.001,0,0.015
i.09.7.127.004,1,0.037
i.09.7.129.001,0,0.015
i.09.7.129.002,0,0.033
i.09.7.130.001,0,0.017
i.09.7.131.001,0,0.034
i.09.7.132.001,0,0.005
i.09.7.132.004,0,0.003
i.09.7.134.001,0,0.042
i.09.7.134.008,0,0.036
i.09.7.136.001,0,0.031
i.09.7.137.001,0,0.122
