CRSP2_Unique_ID,MVMT_5yrMillionVMT,ADT_vpd,Density_Curve,Area_Type,Context_Zone,Segment_Cross_Section,Segment_Design,Seg_CrossSection_Design,Speed_Limit_mph,Access_Density,Rumble_Strips,Mumble_Strips,Lane_Width,Shoulder_Type,Shoulder_Width,Median_Type,Median_Width,Edge_Risk,Edgeline_Striping,Centerline_Striping,Parking_Allowed,Sidewalks,Bike_Lanes,Road_Access_Count,Commercial_Access_Count,Residential_Access_Count,Farm_Access_Count,Alley_Other_Access_Count,TotalCrashCount,TotalCrashes_LaneDeparture,TotalCrashes_MultiVehicle,TotalCrashes_HO_SSO,TotalCrash_PED,SevereCrashCount,Total_Access_County
s.73.4.82.001,0.05,1620,0,small town,commercial,2-lane,undivided,2-lane undivided,30,166.0581306,none,none,12,curb & gutter,6,undivided,0,1,present,present,both sides,both sides,none,2,1,0,0,0,2,0,0,0,0,0,3
s.73.4.66.002,0.08,910,0,small town,residential,2-lane,undivided,2-lane undivided,30,141.5597027,none,none,12,curb & gutter,6,undivided,0,1,present,present,both sides,both sides,none,1,0,5,0,1,0,0,0,0,0,0,7
s.56.4.51.001,0.26,1935,0,small town,commercial,2-lane,undivided,2-lane undivided,30,122.9519011,none,none,12,curb & gutter,6,undivided,0,1,none,none,both sides,both sides,none,4,5,0,0,0,1,0,0,0,0,0,9
s.09.4.4.003,1.65,930,1.03,rural,agricultural,2-lane,undivided,2-lane undivided,55,122.2299202,none,none,11,none,0,undivided,0,2s,present,present,none,none,none,16,7,83,10,3,3,1,1,1,0,0,119
s.47.4.38.001,0.11,435,0,small town,residential,2-lane,undivided,2-lane undivided,30,112.2146214,none,none,12,paved,6,undivided,0,1,none,none,both sides,one side,none,6,0,6,0,4,1,0,0,0,0,0,16
s.13.4.14.001,2.58,4170,2.95,suburban,residential,2-lane,divided,2-lane divided,45,29.50323092,none,none,12,paved,4,undivided,8,2c,present,present,none,none,none,5,3,2,0,0,4,1,1,1,0,0,10
s.13.4.14.003,37.59,5050,0.74,suburban,residential,2-lane,undivided,2-lane undivided,55,14.70943412,none,none,12,paved,8,undivided,0,1,present,present,none,none,none,15,10,23,11,1,25,6,10,3,0,0,60
s.25.4.5.001,2.46,1120,4.15,rural,agricultural,2-lane,undivided,2-lane undivided,55,108.0101836,none,none,11,gravel,8,undivided,0,1,present,present,none,none,none,15,0,61,54,0,0,0,0,0,0,0,130
s.56.4.91.001,0.09,715,0,small town,commercial,2-lane,undivided,2-lane undivided,30,102.8161905,none,none,12,curb & gutter,6,undivided,0,1,none,present,both sides,both sides,none,4,3,0,0,0,0,0,0,0,0,0,7
s.73.4.30.002,0.23,425,3.32,small town,residential,2-lane,undivided,2-lane undivided,45,102.7937991,none,none,12,gravel,3.5,undivided,0,1,present,present,none,none,none,4,0,3,22,2,1,0,1,0,0,0,31
s.56.4.99.001,0.08,465,0,small town,residential,2-lane,undivided,2-lane undivided,30,101.5791652,none,none,12,paved,15,undivided,0,1,none,none,both sides,none,none,5,2,2,0,0,0,0,0,0,0,0,9
s.56.4.98.001,0.2,1540,0,small town,commercial,2-lane,undivided,2-lane undivided,30,97.93445122,none,none,12,curb & gutter,6,undivided,0,1,none,none,both sides,both sides,none,4,3,0,0,0,1,0,0,0,0,0,7
s.13.4.19.002,10.94,5035,1.68,suburban,residential,2-lane,undivided,2-lane undivided,30,46.19433919,none,none,12,paved,9,undivided,0,1,present,present,none,none,none,12,14,29,0,0,16,8,8,5,0,0,55
s.43.4.2.004,0.79,940,0,small town,residential,2-lane,undivided,2-lane undivided,30,97.74406114,none,none,12,curb & gutter,6,undivided,0,1,none,present,one side,one side,none,11,2,28,0,4,1,1,1,1,0,0,45
