V1,V2,V3
s.73.4.82.001,0,0.088
s.73.4.66.002,0,0.088
s.56.4.51.001,0,0.093
s.09.4.4.003,0,0.724
s.47.4.38.001,0,0.059
s.25.4.5.001,0,0.827
s.56.4.91.001,0,0.08
s.73.4.30.002,0,0.129
s.56.4.99.001,0,0.059
s.56.4.98.001,0,0.091
s.43.4.2.004,0,0.127
s.43.4.102.001,0,0.031
s.69.4.24.008,0,0.342
s.56.4.95.001,0,0.096
s.43.4.16.001,0,0.176
s.69.7.571.001,0,0.029
s.86.4.60.001,0,0.114
s.73.4.63.001,0,0.148
s.56.4.90.001,0,0.088
s.73.4.61.001,0,0.061
s.86.4.6.003,0,0.147
s.56.4.35.002,0,0.137
s.43.4.111.001,0,0.099
s.69.4.118.001,0,0.046
s.86.7.143.001,0,0.084
s.43.4.6.001,0,0.137
s.73.4.55.001,0,0.098
s.69.7.945.001,0,0.043
s.86.7.153.001,0,0.092
hen.176,0,0.075
s.04.4.47.002,0,0.093
s.47.4.39.001,0,0.021
s.04.4.93.001,0,0.016
s.47.4.4.002,0,0.236
s.73.4.57.001,0,0.094
s.43.4.103.001,0,0.098
s.73.4.59.001,1,0.076
035-031,0,0.115
s.73.7.186.003,0,0.148
025-021,0,0.087
s.73.7.197.002,0,0.138
s.69.4.117.001,0,0.101
s.73.4.62.001,0,0.096
s.04.4.94.001,0,0.025
s.73.4.56.001,0,0.057
hen.16,0,0.156
s.47.4.43.001,0,0.067
s.43.4.116.001,0,0.179
s.47.4.27.002,0,0.11
s.73.4.79.001,0,0.091
s.73.7.170.002,0,0.061
s.69.7.888.001,0,0.063
s.69.0.72.001,0,0.074
s.55.4.5.002,0,0.222
s.69.9.3091.001,0,0.018
016-030,0,0.065
s.56.4.67.004,0,0.204
hen.78,0,0.09
s.86.4.57.001,0,0.095
s.73.4.65.003,0,0.174
s.69.4.24.001,0,0.177
s.18.4.33.001,0,0.172
s.43.7.78.001,0,0.129
s.86.4.7.005,0,0.175
s.56.4.100.001,0,0.1
s.73.4.68.001,0,0.08
hen.90,1,0.164
s.86.4.5.005,0,0.107
s.18.7.115.001,0,1.201
s.73.4.80.001,0,0.036
s.43.4.9.001,0,0.115
s.73.4.53.001,0,0.166
s.73.4.9.001,0,0.111
s.18.4.11.002,0,0.153
s.73.4.64.001,0,0.111
s.04.4.29.001,0,0.083
s.18.7.110.001,0,0.106
s.73.4.65.002,0,0.139
s.56.4.80.002,1,0.159
s.43.4.9.005,0,0.112
s.73.4.9.007,0,0.114
s.56.4.35.008,0,0.133
s.56.4.46.001,0,0.104
s.47.4.25.001,0,0.103
s.69.4.30.001,0,0.108
s.49.7.285.001,0,0.025
s.69.4.124.001,0,0.111
s.73.4.66.001,0,0.135
s.43.4.4.002,0,0.096
s.69.9.3013.001,0,0.01
s.43.4.109.001,0,0.102
s.09.4.12.002,0,0.152
s.56.7.145.001,0,0.155
s.69.4.126.001,0,0.068
s.73.4.11.002,0,0.181
s.73.4.2.002,0,0.163
s.55.4.12.000,0,0.103
s.73.7.123.001,0,0.1
s.86.4.5.006,0,0.181
s.09.4.13.004,0,0.091
001-020,0,0.217
s.86.4.8.004,0,0.226
s.56.4.12.001,0,0.112
s.69.7.396.001,0,0.089
s.56.4.1.006,0,1.163
s.69.9.3066.001,0,0.197
hen.83,1,0.099
s.73.4.9.005,0,0.153
s.13.4.1.002,0,0.121
hen.56,0,0.132
s.69.7.496.001,0,0.022
034-061,0,0.097
025-020,1,0.099
s.56.4.8.001,0,0.173
s.69.7.999.001,0,0.046
s.73.7.157.003,0,0.109
026-031,0,0.1
033-070,0,0.115
s.04.4.30.002,0,0.092
s.55.4.10.001,0,0.315
s.69.4.8.001,0,0.066
s.69.7.789.001,0,0.033
s.18.4.1.004,0,0.13
s.73.4.58.001,0,0.095
024-030,0,0.036
s.69.7.651.001,0,0.157
s.04.4.92.001,0,0.053
s.43.4.25.001,0,0.079
s.56.4.1.007,0,0.174
s.18.4.30.001,0,0.104
s.73.4.17.004,0,0.105
s.56.4.96.001,0,0.094
s.04.4.47.001,0,0.12
s.73.7.186.001,1,0.119
s.04.4.90.001,0,0.091
s.69.4.25.008,0,0.122
s.09.4.1.007,0,0.193
s.73.4.18.002,0,0.144
017-040,0,0.117
s.04.4.36.002,0,0.076
s.73.4.8.002,1,0.181
s.73.4.10.001,0,0.112
s.73.4.2.004,0,0.111
s.86.4.16.002,0,0.155
s.56.4.17.001,0,0.101
s.69.4.96.001,0,0.291
s.69.9.3092.001,0,0.017
s.73.4.13.006,1,0.254
s.18.4.20.001,0,0.087
s.69.4.64.001,0,0.131
s.73.7.158.001,2,0.216
012-040,0,0.031
s.73.4.38.001,0,0.03
s.86.4.3.004,0,0.154
s.56.4.42.001,0,0.097
026-030,0,0.101
s.56.4.65.003,0,0.108
s.47.4.33.001,0,0.176
s.73.4.67.001,0,0.119
s.73.7.167.002,0,0.117
s.56.4.5.002,0,0.101
s.73.4.60.001,0,0.096
s.73.4.23.002,0,0.127
045-020,0,0.261
s.56.4.35.004,0,0.124
s.69.8.982.001,0,0.46
s.55.7.146.001,0,0.111
s.18.4.11.001,0,0.125
s.69.9.3033.001,0,0.043
