V1,V2
s.73.4.82.001,0.001
s.73.4.66.002,0.002
s.56.4.51.001,0.004
s.09.4.4.003,0.014
s.47.4.38.001,0.005
s.25.4.5.001,0.051
s.56.4.91.001,0.005
s.73.4.30.002,0.008
s.56.4.99.001,0.01
s.56.4.98.001,0.006
s.43.4.2.004,0.011
s.43.4.102.001,0.008
s.69.4.24.008,0.182
s.56.4.95.001,0.008
s.43.4.16.001,0.026
s.69.7.571.001,0.013
s.86.4.60.001,0.012
s.73.4.63.001,0.022
s.56.4.90.001,0.005
s.73.4.61.001,0.009
s.86.4.6.003,0.05
s.56.4.35.002,0.02
s.43.4.111.001,0.021
s.69.4.118.001,0.01
s.86.7.143.001,0.013
s.43.4.6.001,0.031
s.73.4.55.001,0.013
s.69.7.945.001,0.033
s.86.7.153.001,0.012
hen.176,0.014
s.04.4.47.002,0.019
s.47.4.39.001,0.011
s.04.4.93.001,0.011
s.47.4.4.002,0.068
s.73.4.57.001,0.012
s.43.4.103.001,0.015
s.73.4.59.001,0.013
035-031,0.015
s.73.7.186.003,0.068
025-021,0.009
s.73.7.197.002,0.026
s.69.4.117.001,0.019
s.73.4.62.001,0.016
s.04.4.94.001,0.015
s.73.4.56.001,0.02
hen.16,0.104
s.47.4.43.001,0.011
s.43.4.116.001,0.056
s.47.4.27.002,0.027
s.73.4.79.001,0.02
s.73.7.170.002,0.023
s.69.7.888.001,0.014
s.69.0.72.001,0.01
s.55.4.5.002,0.136
s.69.9.3091.001,0.013
016-030,0.046
s.56.4.67.004,0.163
hen.78,0.07
s.86.4.57.001,0.022
s.73.4.65.003,0.063
s.69.4.24.001,0.093
s.18.4.33.001,0.064
s.43.7.78.001,0.04
s.86.4.7.005,0.1
s.56.4.100.001,0.02
s.73.4.68.001,0.02
hen.90,0.239
s.86.4.5.005,0.029
s.18.7.115.001,0.524
s.73.4.80.001,0.018
s.43.4.9.001,0.041
s.73.4.53.001,0.087
s.73.4.9.001,0.031
s.18.4.11.002,0.079
s.73.4.64.001,0.031
s.04.4.29.001,0.036
s.18.7.110.001,0.032
s.73.4.65.002,0.086
s.56.4.80.002,0.18
s.43.4.9.005,0.03
s.73.4.9.007,0.033
s.56.4.35.008,0.05
s.56.4.46.001,0.026
s.47.4.25.001,0.037
s.69.4.30.001,0.02
s.49.7.285.001,0.023
s.69.4.124.001,0.022
s.73.4.66.001,0.113
s.43.4.4.002,0.023
s.69.9.3013.001,0.011
s.43.4.109.001,0.027
s.09.4.12.002,0.027
s.56.7.145.001,0.037
s.69.4.126.001,0.018
s.73.4.11.002,0.198
s.73.4.2.002,0.211
s.55.4.12.000,0.031
s.73.7.123.001,0.027
s.86.4.5.006,0.076
s.09.4.13.004,0.016
001-020,0.016
s.86.4.8.004,0.334
s.56.4.12.001,0.036
s.69.7.396.001,0.046
s.56.4.1.006,0.68
