V1,V2,V3
s.13.4.14.001,0,0.039
s.13.4.14.003,0,0.734
s.13.4.19.002,0,0.424
s.13.4.22.001,1,0.879
s.13.4.24.001,2,0.56
s.13.4.25.002,0,0.929
s.13.4.30.001,0,0.32
s.13.4.30.002,0,1.007
s.13.4.30.003,1,0.389
s.13.4.30.004,1,0.563
s.13.4.30.005,2,1.099
s.13.4.32.002,0,0.271
s.13.4.37.001,0,0.076
s.13.4.39.001,0,0.095
s.13.4.4.002,0,0.221
s.13.7.54.002,0,0.183
s.13.7.68.001,0,0.403
s.13.7.77.001,0,0.533
s.47.4.42.001,0,0.271
s.69.4.10.001,1,0.171
s.69.4.10.002,1,0.213
s.69.4.100.002,0,0.626
s.69.4.101.002,0,0.124
s.69.4.103.002,1,0.287
s.69.4.103.008,0,0.087
s.69.4.104.001,0,0.28
s.69.4.106.001,0,0.143
s.69.4.109.001,0,0.097
s.69.4.11.002,0,0.16
s.69.4.12.001,0,0.435
s.09.4.55.001,0,0.16
s.69.4.121.001,0,0.178
s.47.4.11.002,1,0.219
s.69.4.132.001,0,0.345
s.69.4.14.001,0,0.163
s.69.4.14.002,0,0.271
s.09.4.16.001,0,0.553
s.69.4.142.001,0,0.181
s.69.4.144.001,0,0.132
s.69.4.148.001,0,0.164
s.69.4.150.001,0,0.085
s.69.4.151.001,0,0.085
s.69.4.152.001,0,0.085
s.69.4.153.001,0,0.211
s.69.4.154.001,0,0.195
s.69.4.155.001,0,0.097
s.69.4.156.001,0,0.397
s.69.4.158.001,0,0.193
s.69.4.16.002,0,0.213
s.69.4.17.001,0,0.276
s.43.4.7.005,0,0.357
s.69.4.32.001,0,1.671
s.69.4.34.001,0,1.325
s.69.4.37.001,1,1.404
s.69.4.4.001,2,0.849
s.69.4.48.001,0,0.234
s.69.4.48.002,1,0.606
s.69.4.54.001,0,0.485
s.69.4.56.003,0,0.456
s.69.4.57.001,0,0.428
s.69.4.6.003,0,0.639
s.43.7.83.001,0,0.298
s.69.4.66.001,0,0.085
s.69.4.67.001,0,0.283
s.69.4.89.001,0,0.682
s.69.4.9.002,4,1.239
s.69.4.90.001,0,0.645
s.69.4.91.001,0,0.773
s.69.7.234.002,0,0.312
s.69.7.252.001,0,0.08
s.43.7.69.001,0,0.109
s.43.4.2.002,0,0.289
s.69.7.724.001,0,0.041
s.09.4.7.003,0,0.701
s.55.4.25.003,1,0.94
s.43.4.15.001,1,0.322
s.18.4.20.003,0,0.069
s.18.4.20.004,0,0.067
s.18.4.28.002,0,0.084
s.43.4.25.004,0,0.496
s.18.4.48.001,0,0.262
s.18.4.48.002,0,0.276
s.18.4.48.003,0,0.208
s.18.4.49.001,5,0.953
s.18.4.66.001,1,0.433
s.18.7.101.001,0,0.104
s.18.7.117.001,0,0.154
s.18.7.125.001,0,0.293
s.18.7.126.001,0,0.137
s.47.4.34.001,1,0.353
s.18.7.135.001,0,0.446
019-010,1,0.134
020-032,1,0.118
022-051,0,0.453
s.55.4.1.002,3,0.9
hen.101,0,2.285
hen.1043,2,3.86
hen.1050,5,0.712
hen.11,1,1.629
hen.112,0,0.519
hen.120,0,0.741
hen.123,1,0.737
hen.124,1,0.737
hen.125,0,1.105
hen.13,0,0.41
hen.130,3,0.797
hen.133,3,0.584
hen.134,2,1.323
hen.136,1,0.34
hen.138,1,0.525
hen.149,1,0.387
hen.15,0,0.533
hen.158,0,0.278
hen.163,0,0.454
hen.164,0,0.2
hen.168,0,0.709
hen.17,3,1.868
hen.172,0,0.559
hen.18,3,1.365
hen.181,8,2.759
hen.182,0,0.526
hen.187,18,6.443
hen.188,5,2.734
hen.190,8,3.752
hen.192,0,1.098
hen.196,0,0.376
hen.200,3,2.541
hen.203,0,0.353
hen.204,0,0.392
hen.205,20,2.441
hen.21,0,0.46
hen.214,4,2.153
hen.219,0,0.953
hen.220,1,0.715
hen.223,0,1.668
hen.225,0,0.217
hen.228,2,0.866
hen.23,1,2.184
hen.243,0,1.161
hen.255,3,1.635
hen.26,0,0.904
hen.260,3,0.869
hen.266,0,3.667
hen.267,3,1.663
hen.269,3,1.142
hen.270,0,0.406
hen.273,2,1
hen.274,1,1.789
hen.275,0,0.931
hen.279,1,1.491
hen.28,0,1.367
hen.281,0,1.006
hen.282,0,1.157
hen.284,0,1.129
hen.286,0,0.74
hen.287,2,0.598
hen.289,1,1.498
hen.29,0,0.536
hen.291,1,1.399
hen.292,0,1.672
hen.298,0,0.516
hen.3,1,1.063
hen.30,0,0.509
hen.300,1,0.528
hen.304,1,1.128
hen.307,0,0.768
hen.308,2,0.418
hen.310,0,0.738
hen.311,0,0.065
hen.312,1,0.966
hen.313,0,0.403
hen.315,1,0.876
hen.316,0,0.388
hen.318,0,0.56
hen.320,1,0.711
hen.323,1,0.542
hen.324,2,0.584
hen.329,4,0.417
hen.332,0,0.359
hen.333,0,0.752
hen.336,2,0.71
hen.338,3,0.715
hen.343,0,0.116
hen.344,1,0.312
hen.35,0,0.218
hen.351,1,0.181
hen.356,0,0.058
hen.357,0,0.628
hen.360,1,0.367
hen.364,1,0.737
hen.368,0,0.416
hen.371,0,0.305
hen.378,0,1.009
hen.381,0,0.205
hen.385,0,0.216
hen.4,0,0.09
hen.404,0,0.251
hen.407,1,0.109
hen.409,0,0.295
hen.41,0,0.086
hen.410,0,0.199
hen.412,11,3.861
hen.413,2,3.854
