V1,V2
s.13.4.14.001,0.117
s.13.4.14.003,0.666
s.13.4.19.002,0.283
s.13.4.22.001,0.709
s.13.4.24.001,0.581
s.13.4.25.002,0.918
s.13.4.30.001,0.123
s.13.4.30.002,0.549
s.13.4.30.003,0.447
s.13.4.30.004,0.555
s.13.4.30.005,1.05
s.13.4.32.002,0.087
s.13.4.37.001,0.091
s.13.4.39.001,0.102
s.13.4.4.002,0.277
s.13.7.54.002,0.139
s.13.7.68.001,0.411
s.13.7.77.001,0.411
s.47.4.42.001,0.099
s.69.4.10.001,0.202
s.69.4.10.002,0.147
s.69.4.100.002,0.904
s.69.4.101.002,0.839
s.69.4.103.002,1.295
s.69.4.103.008,0.088
s.69.4.104.001,0.591
s.69.4.106.001,0.208
s.69.4.109.001,0.176
s.69.4.11.002,0.285
s.69.4.12.001,0.274
s.09.4.55.001,0.085
s.69.4.121.001,0.189
s.47.4.11.002,0.528
s.69.4.132.001,0.181
s.69.4.14.001,0.167
s.69.4.14.002,0.788
s.09.4.16.001,0.469
s.69.4.142.001,0.699
s.69.4.144.001,0.265
s.69.4.148.001,0.1
s.69.4.150.001,0.168
s.69.4.151.001,0.145
s.69.4.152.001,0.391
s.69.4.153.001,0.183
s.69.4.154.001,0.202
s.69.4.155.001,0.303
s.69.4.156.001,0.363
s.69.4.158.001,0.1
s.69.4.16.002,0.406
s.69.4.17.001,0.132
s.43.4.7.005,0.178
s.69.4.32.001,0.689
s.69.4.34.001,0.625
s.69.4.37.001,0.84
s.69.4.4.001,1.067
s.69.4.48.001,0.519
s.69.4.48.002,0.711
s.69.4.54.001,0.577
s.69.4.56.003,0.411
s.69.4.57.001,0.167
s.69.4.6.003,0.785
s.43.7.83.001,0.273
s.69.4.66.001,0.115
s.69.4.67.001,0.267
s.69.4.89.001,0.733
s.69.4.9.002,5.127
s.69.4.90.001,0.656
s.69.4.91.001,0.809
s.69.7.234.002,0.172
s.69.7.252.001,0.107
s.43.7.69.001,0.092
s.43.4.2.002,0.158
s.69.7.724.001,0.128
s.09.4.7.003,0.654
s.55.4.25.003,0.823
s.43.4.15.001,0.203
s.18.4.20.003,0.148
s.18.4.20.004,0.119
s.18.4.28.002,0.096
s.43.4.25.004,0.769
s.18.4.48.001,0.598
s.18.4.48.002,0.914
s.18.4.48.003,0.184
s.18.4.49.001,0.62
s.18.4.66.001,0.745
s.18.7.101.001,0.088
s.18.7.117.001,0.177
s.18.7.125.001,0.261
s.18.7.126.001,0.155
s.47.4.34.001,0.302
s.18.7.135.001,0.156
019-010,0.146
020-032,0.122
022-051,0.282
s.55.4.1.002,1.874
hen.101,0.952
hen.1043,1.339
hen.1050,1.814
hen.11,4.275
hen.112,0.332
hen.120,0.422
hen.123,0.687
hen.124,0.703
hen.125,1.375
hen.13,0.968
hen.130,0.797
hen.133,0.438
hen.134,0.723
hen.136,0.369
hen.138,0.435
hen.149,0.271
hen.15,0.517
hen.158,0.405
hen.163,0.359
hen.164,0.225
hen.168,0.372
hen.17,1.152
hen.172,0.224
hen.18,0.915
hen.181,1.69
hen.182,0.186
hen.187,14.362
hen.188,4.294
hen.190,2.985
hen.192,0.604
hen.196,0.197
hen.200,1.915
hen.203,0.118
hen.204,0.152
hen.205,8.949
hen.21,0.836
hen.214,2.75
hen.219,0.488
hen.220,0.311
hen.223,0.972
hen.225,0.184
hen.228,0.401
hen.23,2.23
hen.243,0.574
hen.255,0.615
hen.26,0.326
hen.260,0.656
hen.266,0.534
hen.267,0.306
hen.269,0.933
hen.270,0.214
hen.273,0.672
hen.274,0.982
hen.275,0.933
hen.279,0.863
hen.28,1.49
hen.281,0.677
hen.282,0.672
hen.284,0.553
hen.286,0.571
hen.287,0.463
hen.289,0.462
hen.29,0.344
hen.291,0.516
hen.292,1.163
hen.298,0.589
hen.3,4.925
hen.30,0.968
hen.300,1.372
hen.304,0.632
hen.307,0.891
hen.308,0.819
hen.310,0.316
hen.311,0.112
hen.312,0.999
hen.313,0.494
hen.315,0.739
hen.316,0.558
hen.318,1.356
hen.320,0.621
hen.323,0.503
hen.324,0.677
hen.329,0.793
hen.332,0.278
hen.333,0.763
hen.336,0.729
hen.338,7.198
hen.343,0.091
hen.344,0.423
hen.35,0.262
hen.351,0.5
hen.356,0.113
hen.357,1.04
hen.360,0.585
hen.364,0.614
hen.368,0.24
hen.371,0.205
hen.378,0.992
hen.381,0.144
hen.385,0.142
hen.4,0.413
hen.404,0.39
hen.407,0.198
hen.409,0.392
hen.41,0.091
hen.410,0.302
hen.412,8.72
hen.413,5.712
hen.414,0.262
hen.425,0.277
hen.426,0.238
hen.43,0.13
hen.430,1.821
hen.432,0.326
hen.433,1.111
hen.438,0.258
hen.449,0.392
hen.452,0.387
hen.454,0.462
hen.456,2.538
hen.46,3.702
hen.460,4.156
hen.466,0.226
hen.467,0.342
hen.474,0.288
hen.475,0.441
hen.483,0.175
hen.486,0.558
hen.49,0.396
hen.492,0.97
hen.493,0.268
hen.495,0.766
hen.496,0.25
hen.499,2.016
hen.5,0.216
hen.506,0.579
hen.51,9.949
hen.511,0.954
hen.512,0.702
hen.513,0.309
hen.517,1.645
hen.518,1.705
hen.519,0.341
hen.522,0.237
hen.527,0.448
hen.528,1.679
hen.529,0.292
hen.53,0.382
hen.531,0.996
hen.533,0.718
hen.535,0.791
hen.536,1.1
hen.537,1.102
hen.540,0.259
hen.543,1.315
hen.546,0.443
hen.547,3.1
hen.548,0.386
hen.550,0.144
hen.558,0.232
hen.560,0.136
hen.562,0.415
hen.567,0.52
hen.570,0.664
hen.573,0.121
hen.576,0.624
hen.578,0.173
hen.579,0.462
hen.582,0.553
hen.585,0.406
hen.589,0.832
hen.591,0.323
hen.593,1.244
hen.594,1.442
hen.596,0.499
hen.597,0.269
hen.598,0.1
hen.599,0.249
hen.6,0.283
hen.60,1.218
hen.603,0.497
hen.611,0.693
hen.612,0.993
hen.617,3.503
hen.618,0.44
hen.619,0.277
hen.62,0.931
hen.622,0.58
hen.625,0.844
hen.626,1.213
hen.633,0.307
hen.634,0.431
hen.637,0.262
hen.638,0.906
hen.64,0.119
hen.643,0.544
hen.646,0.458
hen.650,0.32
hen.658,0.534
hen.67,0.436
hen.676,1.18
hen.683,0.383
hen.684,0.314
hen.687,0.255
hen.69,0.685
hen.692,0.366
hen.693,0.272
hen.695,0.283
hen.696,0.602
hen.697,1.191
hen.70,0.249
hen.702,0.112
hen.703,0.386
hen.704,0.683
hen.705,0.353
hen.706,0.524
hen.709,0.258
hen.719,0.759
hen.723,0.19
hen.727,0.939
hen.729,1.193
hen.73,0.861
hen.730,2.543
hen.735,1.401
hen.737,0.742
hen.739,0.143
hen.74,0.662
hen.740,1.93
hen.741,1.618
hen.744,0.461
hen.750,0.811
hen.751,1.184
hen.756,0.156
hen.757,1.182
hen.758,0.331
hen.759,0.8
hen.76,0.165
hen.760,0.144
hen.761,0.997
hen.762,0.404
hen.763,1.017
hen.764,1.276
hen.766,0.418
hen.769,1.613
hen.772,1.489
hen.775,1.012
hen.777,0.289
hen.778,0.923
hen.780,1.155
hen.782,4.519
hen.784,0.597
hen.79,0.577
hen.791,0.476
hen.792,0.545
hen.793,0.243
hen.795,0.688
hen.797,0.795
hen.8,0.348
hen.801,1.439
hen.802,0.15
hen.806,0.513
hen.821,0.749
hen.823,0.408
hen.86,0.093
hen.9,0.334
s.86.4.12.001,0.256
s.86.4.12.003,0.235
s.86.4.17.002,0.381
s.86.4.18.001,0.578
s.86.4.18.002,0.578
s.86.4.18.004,0.613
s.86.4.19.001,0.68
s.86.4.19.002,0.816
s.86.4.19.003,0.864
s.86.4.3.003,0.309
s.86.4.33.005,0.403
s.86.4.35.005,0.501
s.86.4.35.006,0.674
s.86.4.37.008,1.118
s.86.4.38.003,0.105
s.86.4.39.0012,0.691
s.86.4.39.008,0.248
s.86.4.39.009,0.466
s.86.4.42.002,0.566
s.86.4.6.009,0.166
s.86.4.75.004,0.539
s.86.4.75.005,1.912
s.86.7.106.004,0.161
s.86.7.119.002,0.475
s.86.7.134.001,0.357
s.86.7.138.001,0.189
s.86.7.139.001,0.258
s.86.7.147.001,0.176
s.86.7.148.001,0.079
s.04.4.11.001,0.409
s.04.4.11.002,0.138
s.04.4.11.003,0.304
s.04.4.11.004,0.101
s.04.4.12.001,0.318
s.04.4.12.002,0.133
s.04.4.15.001,0.167
s.04.4.15.002,1.375
s.04.4.17.002,0.062
s.04.4.21.001,0.149
s.04.4.21.002,0.401
s.04.4.50.001,0.064
s.04.4.52.001,0.558
s.04.7.303.001,0.089
s.04.7.402.001,0.122
s.04.7.404.001,0.076
s.04.7.406.001,0.105
s.25.4.1.003,0.3
s.25.4.1.004,0.809
s.25.4.10.002,0.099
s.25.4.11.004,0.582
s.25.4.22.001,0.101
s.25.4.24.002,0.669
s.25.4.24.003,0.113
s.25.4.25.002,0.252
s.25.4.27.001,0.15
s.25.4.27.002,0.102
s.25.4.5.002,0.422
s.25.4.6.001,0.264
s.25.4.63.001,0.11
s.25.4.66.001,0.561
s.25.4.68.001,0.208
s.55.4.8.004,0.65
s.55.7.125.001,0.418
s.55.7.125.002,0.323
s.55.7.147.001,0.395
s.09.4.45.001,0.51
s.56.4.1.002,5.132
s.56.4.25.002,0.273
s.56.4.27.001,0.125
s.56.4.34.002,0.091
