ACCN,Cur_CRSP2ID_int
110010085,C.27.4.81.021
110010089,C.27.4.9.013
110010144,C.27.4.19.043
110010150,C.86.4.39.039
110020006,C.56.4.88.004
110020137,C.69.4.77.004
110020259,C.13.4.9.027
110030015,C.27.4.6.023
110030159,C.25.4.19.007
110040260,C.69.4.100.013
110050036,C.09.4.3.005
110050145,C.27.4.9.010
110050234,C.49.4.26.011
110060004,C.27.4.19.012
110060173,C.55.4.5.012
110060484,C.73.4.9.001
110070016,C.69.4.101.009
110070026,C.27.4.40.010
110070076,C.56.4.1.015
110070170,C.49.4.1.014
110070199,C.24.4.28.004
110080037,C.73.7.158.002
110080131,C.69.4.7.029
110080150,C.13.4.36.005
110090024,C.69.4.101.008
110090049,C.09.4.6.013
110090146,C.27.4.3.016
110090147,C.18.4.49.003
110090165,C.13.4.22.001
110090205,C.69.4.77.002
110100082,C.73.4.133.001
110100238,C.27.4.66.005
110100250,C.73.4.1.007
110100285,C.56.4.35.005
110100490,C.86.4.35.015
110110048,C.27.4.28.021
110110095,C.27.7.117.002
110110152,C.27.4.60.019
110110372,C.27.4.60.001
110120062,C.27.4.10.047
110120195,C.13.4.23.009
110120215,C.73.4.50.017
110120285,C.27.4.81.019
110120316,C.13.4.7.005
110120373,C.69.4.21.008
110130179,C.18.4.49.003
110130185,C.86.4.35.020
110130191,C.55.4.14.009
110140534,C.73.4.2.010
110150052,C.27.4.3.021
110150058,C.27.4.39.004
110150083,C.27.4.152.029
110150095,C.13.4.14.010
110150190,C.86.7.117.004
110150260,C.13.4.30.008
110160025,C.73.7.160.003
110160030,C.73.4.134.001
110160109,C.55.4.14.009
110160112,C.27.4.12.030
110160117,C.27.4.121.001
110160167,C.73.7.145.006
110170013,C.69.4.3.005
110170060,C.18.4.1.011
110170263,C.73.4.4.002
110170388,C.18.4.48.003
110180027,C.27.4.12.039
110180095,C.69.4.9.010
110180191,C.47.4.1.001
110180271,C.69.4.91.006
110180298,C.69.7.697.012
110190065,C.27.4.15.016
110190224,C.55.4.1.001
110190228,C.27.4.10.062
110190243,C.27.4.103.002
110190293,C.27.7.202.007
110200006,C.69.4.4.004
110200018,C.73.7.141.009
110200085,C.27.4.9.026
110200130,C.56.4.67.019
110200245,C.24.4.35.007
110210326,C.13.4.10.005
110210343,C.73.4.9.017
110210386,C.27.4.40.001
110220108,C.69.4.9.005
110220215,C.13.4.1.005
110230079,C.27.4.152.026
110230165,C.18.7.107.008
110230211,C.27.4.6.035
110230229,C.73.4.75.013
110240003,C.13.4.8.011
110240027,C.27.4.81.021
110240135,C.13.4.19.003
110240154,C.13.4.9.008
110240179,C.13.4.22.009
110250004,C.13.4.36.002
110250488,C.27.4.66.018
110270178,C.18.4.20.001
110280214,C.27.4.102.001
110280324,C.24.4.46.005
110290100,C.27.4.31.002
110290137,C.24.4.46.004
110290208,C.43.4.1.004
110290209,C.25.4.6.013
110300015,C.43.4.9.009
110300027,C.24.4.34.005
110300031,C.18.4.11.025
110300079,C.69.4.9.001
110300148,C.73.7.181.001
110310023,C.73.4.133.001
110310045,C.27.4.152.025
110310089,C.73.4.4.020
110310102,C.27.4.40.001
110310186,C.27.4.81.001
110310221,C.43.4.9.007
110310258,C.69.4.142.001
110320136,C.13.4.20.005
110320182,C.27.4.16.001
110320413,C.27.4.52.006
110320497,C.25.7.41.006
110320554,C.73.4.3.010
110320581,C.43.4.3.009
110330059,C.27.4.151.001
110330139,C.27.4.152.029
110330473,C.69.4.21.013
110330705,C.56.4.82.003
110340137,C.27.4.40.004
110340189,C.27.4.62.008
110340262,C.27.4.1.013
110340385,C.13.4.9.025
110340418,C.25.4.6.013
110350014,C.09.4.61.024
110350177,C.27.4.101.029
110350187,C.73.4.43.003
110350199,C.73.4.6.005
110350238,C.27.4.152.025
110350248,C.27.4.1.023
110350258,C.27.4.152.022
110360033,C.27.4.30.005
110360085,C.27.4.101.014
110360140,C.73.4.51.004
110370017,C.25.4.9.016
110370084,C.27.4.12.005
110370104,C.55.4.1.009
110370133,C.25.4.7.056
110380078,C.27.4.3.025
110380182,C.56.4.88.004
110380260,C.27.4.15.017
110390206,C.69.4.102.003
110390258,C.73.4.9.005
110390324,C.43.4.1.001
110390440,C.27.4.10.068
110390458,C.27.4.10.068
110390465,C.27.4.1.027
110390510,C.86.4.30.005
110390663,C.86.4.30.005
110400126,C.27.4.152.006
