acc_0615_ForGIS_pt.ACCN,acc_0615_ForGIS_pt.Int_CRSP2ID_int
110010127,I.73.4.4.034
110010141,I.73.4.4.032
110010150,I.86.4.39.075
110010196,I.73.4.14.009
110020006,I.56.4.88.005
110020038,I.69.4.9.033
110020082,I.86.7.134.004
110020137,I.69.4.77.004
110020161,I.49.7.202.007
110020174,I.69.4.37.024
110020175,I.73.4.50.011
110020185,I.69.4.54.014
110020257,I.86.4.37.070
110030084,I.56.4.8.010
110030089,I.73.4.75.066
110030150,I.73.4.4.053
110030175,I.73.4.65.009
110030216,I.69.4.54.017
110030386,I.69.4.132.012
110040017,I.69.4.5.034
110040260,I.69.4.100.019
110040317,I.73.4.4.034
110040338,I.73.4.4.027
110040363,I.69.4.32.004
110050003,I.69.4.90.011
110050017,I.73.4.134.004
110050096,I.49.4.39.013
110050234,I.49.4.26.036
110050244,I.69.4.9.016
110050249,I.86.4.75.043
110050314,I.55.4.32.005
110050368,I.73.4.75.048
110050371,I.73.4.75.066
110060009,I.69.4.63.009
110060173,I.55.4.5.023
110060281,I.69.4.100.021
110060484,I.73.4.9.010
110070016,I.69.4.101.010
110070044,I.55.4.22.058
110070076,I.56.4.1.098
110070140,I.73.7.134.002
110070172,I.47.4.11.024
110070254,I.69.4.4.010
110070438,I.49.4.104.001
110080054,I.55.4.22.024
110080076,I.55.4.25.028
110080093,I.73.4.1.016
110080133,I.56.4.27.016
110080140,I.73.4.136.007
110080178,I.55.4.34.020
110080268,I.69.4.110.010
110090078,I.69.4.9.039
110090117,I.55.4.1.013
110090170,I.86.4.36.002
110090204,I.86.4.35.037
110090307,I.73.4.17.013
110100211,I.56.4.38.030
110100250,I.73.4.1.013
110100285,I.56.4.35.007
110100467,I.69.4.20.015
110100468,I.69.4.102.026
110100490,I.86.4.35.020
110110005,I.73.4.75.056
110110041,I.56.4.1.028
110110078,I.73.4.133.015
110110119,I.43.4.12.004
110110180,I.86.4.34.005
110110207,I.86.4.18.001
110110260,I.69.4.103.010
110110315,I.56.4.1.026
110110339,I.73.4.1.039
110110441,I.55.4.3.018
110110442,I.55.4.3.018
110120137,I.73.4.4.062
110120149,I.43.4.1.021
110120215,I.73.4.50.026
110120253,I.56.4.67.040
110120565,I.86.4.36.012
110130081,I.69.4.34.001
110130185,I.86.4.35.028
110130241,I.69.4.10.004
110130509,I.73.4.54.009
110130511,I.86.4.75.020
110130514,I.86.4.35.030
110130517,I.86.4.12.001
110130522,I.69.7.734.005
110130532,I.69.4.14.002
110130534,I.69.7.725.002
110130548,I.69.4.25.007
110130552,I.69.4.5.044
110140014,I.73.4.75.019
110140042,I.73.4.133.013
110140078,I.69.4.54.017
110140114,I.69.4.100.037
110140147,I.69.4.146.003
110140234,I.56.4.25.001
110140249,I.73.4.4.027
110140258,I.73.4.81.019
110140259,I.73.4.75.048
110140264,I.73.4.133.013
110140313,I.69.4.4.001
110140476,I.86.4.75.044
110140492,I.69.4.7.001
110140534,I.73.4.2.045
110150067,I.69.4.9.067
110150081,I.73.4.75.044
110150175,I.56.4.1.026
110150180,I.86.4.75.019
110150183,I.55.7.146.003
110150235,I.86.4.75.049
110150239,I.55.4.22.037
110150267,I.86.4.37.046
110150286,I.69.4.34.017
110160047,I.69.4.90.007
110160051,I.69.4.54.007
110160052,I.55.4.2.013
110160084,I.73.4.81.005
110160127,I.49.4.76.002
110160150,I.73.4.4.032
110160157,I.56.4.1.032
110160167,I.73.7.145.010
110160169,I.69.4.100.025
110170014,I.86.4.34.005
110170061,I.55.4.34.017
110170093,I.73.4.75.040
110170097,I.49.4.26.011
110170115,I.69.4.90.001
110170144,I.49.4.76.002
110170189,I.69.4.121.005
110170193,I.73.4.1.019
110170271,I.43.4.12.021
110180046,I.55.4.22.026
110180050,I.69.4.9.078
110180055,I.55.4.21.003
110180095,I.69.4.9.051
110180178,I.69.4.7.068
110180252,I.73.4.75.047
110180268,I.69.4.56.031
110180298,I.69.7.697.008
110180301,I.69.4.9.062
110180307,I.86.4.9.013
110180518,I.86.4.7.034
110180529,I.69.7.734.005
110190056,I.69.4.11.018
110190078,I.49.4.39.001
110190224,I.55.4.1.005
110190245,I.69.4.97.005
110190262,I.73.4.75.050
110190301,I.69.4.100.034
110190334,I.73.4.81.019
110190339,I.55.4.36.031
110190391,I.69.4.63.008
110200009,I.69.4.90.013
110200095,I.56.7.122.007
110200136,I.49.4.28.001
110200160,I.69.4.9.072
110200337,I.73.4.75.047
110200355,I.69.4.57.005
110210080,I.43.4.8.002
110210248,I.69.4.103.010
110210263,I.55.4.34.024
110210343,I.73.4.9.048
110210352,I.73.4.2.024
110210411,I.49.4.26.004
110220108,I.69.4.9.041
110220128,I.73.4.4.034
110220175,I.69.4.6.019
110220213,I.69.4.98.002
110220247,I.69.4.37.007
110230127,I.69.4.34.001
110230176,I.43.4.12.011
110230229,I.73.4.75.033
110240095,I.73.7.112.002
110240098,I.73.4.54.009
110240277,I.69.4.9.078
110240331,I.73.4.75.047
110240333,I.73.4.2.011
110250166,I.49.4.11.001
110250193,I.56.4.25.008
110250203,I.86.4.12.033
110250205,I.69.4.145.002
110250394,I.55.4.5.006
110250422,I.69.4.103.010
110250497,I.73.4.10.001
110260068,I.43.4.1.005
110260098,I.73.4.9.017
110260137,I.86.4.18.022
110260186,I.73.4.75.044
110260270,I.69.4.4.001
110260273,I.55.7.112.009
110260283,I.69.4.91.019
110260346,I.55.4.34.024
110270075,I.56.4.60.001
110270089,I.56.4.53.001
110270137,I.73.4.137.010
110270171,I.73.4.2.004
110270179,I.73.4.138.006
110270207,I.69.4.102.026
110270208,I.73.4.75.068
110270303,I.73.4.81.019
110280084,I.69.4.54.017
110280096,I.43.4.33.002
110280222,I.55.7.133.004
110290005,I.56.4.27.011
110290061,I.69.9.1046.001
110290068,I.69.7.847.005
110290126,I.55.4.1.033
110290139,I.69.4.90.017
110290208,I.43.4.1.026
110300042,I.69.4.90.008
110300079,I.69.4.9.034
110300109,I.73.4.75.048
110300138,I.73.4.81.009
110300155,I.69.4.9.078
110300162,I.69.4.144.002
110310028,I.86.4.6.057
110310057,I.86.4.19.024
110310076,I.73.4.4.047
110310089,I.73.4.4.058
110310108,I.47.4.11.027
110310112,I.69.4.30.002
110310143,I.69.4.9.062
110310180,I.47.4.34.004
110310202,I.86.4.19.034
110310221,I.43.4.9.023
110310258,I.69.4.142.010
110310265,I.55.4.1.039
110310279,I.69.4.9.048
110310350,I.86.4.35.029
110310422,I.69.4.90.006
110310428,I.43.4.12.004
110320162,I.69.4.13.002
110320166,I.69.4.31.009
110320172,I.49.4.35.001
110320223,I.86.4.19.033
110320343,I.73.7.186.016
110320504,I.73.4.4.062
110320554,I.73.4.3.022
110320581,I.43.4.3.012
110330028,I.69.4.103.013
110330400,I.73.4.81.015
110330577,I.73.4.1.005
110330606,I.69.4.6.024
110340026,I.55.4.34.024
110340142,I.43.4.15.005
110340175,I.69.4.37.007
110340176,I.55.4.22.026
110340207,I.69.4.9.046
110340222,I.69.4.9.051
110340237,I.43.4.1.033
110340292,I.73.4.81.016
110350144,I.49.4.34.014
110350199,I.73.4.6.012
110350301,I.69.4.9.065
110350306,I.73.4.120.008
110350316,I.73.4.1.003
110350361,I.73.7.121.006
110350404,I.86.4.3.022
110360062,I.69.4.9.038
110360089,I.55.4.5.006
110360103,I.73.4.75.033
110360114,I.69.4.9.065
110360140,I.73.4.51.003
110370039,I.73.4.2.024
110370050,I.69.4.56.032
110370053,I.73.4.72.004
110370057,I.73.4.17.013
110370096,I.73.4.17.066
110370174,I.69.4.155.007
110380048,I.73.4.4.032
110380074,I.56.4.19.018
110380082,I.73.4.75.048
110380134,I.73.4.17.015
110380178,I.73.4.75.070
110380182,I.56.4.88.005
110390206,I.69.4.102.010
110390264,I.86.4.34.001
110390282,I.86.4.8.074
110390295,I.73.4.1.005
110390330,I.86.4.3.054
110390332,I.69.4.4.005
110390352,I.86.4.37.034
110390535,I.69.4.13.002
110390552,I.49.4.17.013
110390621,I.69.4.7.069
110400169,I.55.4.22.052
110400176,I.55.4.22.021
110400177,I.55.4.36.031
110400206,I.73.4.2.064
110400223,I.55.4.22.018
110400248,I.69.7.266.005
110400258,I.73.4.54.001
110400273,I.69.4.6.011
110400278,I.73.4.75.018
110400372,I.43.4.15.003
110410105,I.69.4.9.065
110410204,I.86.4.6.040
110410236,I.49.7.210.001
110410248,I.69.4.103.007
110410250,I.69.4.103.017
110410251,I.55.4.25.028
110410289,I.73.4.120.005
110420081,I.86.7.106.019
110420109,I.69.4.100.020
110420161,I.73.4.75.047
110420261,I.73.4.75.050
110420290,I.73.4.1.001
110420334,I.69.4.13.002
110420336,I.55.4.25.009
110430022,I.86.4.37.070
110430093,I.69.4.141.004
110430134,I.73.4.3.018
110430173,I.73.4.2.024
110430182,I.73.4.7.008
110430210,I.73.4.2.058
110440014,I.49.4.8.005
110440019,I.49.4.37.005
110440039,I.73.4.13.042
110440127,I.43.7.54.008
110450032,I.55.4.22.043
110450040,I.69.4.14.024
110450051,I.55.4.2.013
110450066,I.73.4.54.001
110450165,I.43.4.12.013
110450195,I.69.4.15.016
110450240,I.43.4.7.019
110450334,I.86.7.106.019
110450341,I.55.4.1.033
110460096,I.69.4.9.045
110460121,I.73.4.2.027
110460124,I.56.4.38.026
110460155,I.73.4.4.034
110460161,I.73.4.75.052
110460224,I.55.4.32.005
110470015,I.73.4.75.070
110470074,I.55.4.22.017
110470085,I.73.4.75.052
110470098,I.55.4.22.052
110470100,I.55.7.146.003
110470114,I.55.7.146.003
110470131,I.55.4.22.052
110470163,I.55.4.9.005
110470176,I.55.4.22.037
110470184,I.55.4.25.028
110470330,I.73.4.29.001
110470333,I.73.4.33.031
110480019,I.55.4.22.041
110480064,I.55.4.4.025
110480066,I.73.4.65.005
110480142,I.73.7.141.004
110480159,I.55.4.22.016
110490045,I.73.4.4.030
110490089,I.73.4.75.052
110490128,I.73.4.75.056
110490143,I.73.4.82.007
110490146,I.73.4.1.005
110490169,I.73.4.75.067
110500053,I.86.4.12.042
110510060,I.73.4.13.052
110510065,I.73.4.13.052
110510215,I.73.4.23.018
110510217,I.43.4.115.005
110520093,I.73.4.1.005
110520121,I.86.4.34.001
110520134,I.49.7.213.001
110520230,I.69.4.21.052
110520242,I.55.4.25.028
110520282,I.69.4.4.001
110520383,I.73.4.47.003
110520395,I.86.4.42.003
110530013,I.73.4.2.045
110530016,I.73.4.2.045
110530030,I.69.4.6.021
110530045,I.69.4.54.010
110530066,I.69.4.57.003
110530172,I.55.4.5.012
110530211,I.73.4.75.044
110530223,I.47.4.1.028
110530262,I.56.4.35.040
110530297,I.73.4.75.040
110530328,I.56.4.88.005
110530333,I.86.4.37.073
110530383,I.55.4.36.030
110530630,I.86.7.147.001
110530635,I.86.7.138.007
110540059,I.55.4.22.015
110540107,I.55.4.22.046
110540165,I.86.4.35.036
110540293,I.86.4.3.027
110540294,I.73.4.6.001
110550001,I.43.4.115.010
110550018,I.69.4.13.025
110550027,I.73.4.2.027
110550049,I.86.4.18.022
110550055,I.86.4.75.044
110550056,I.86.4.17.019
110550057,I.86.4.30.034
110550062,I.86.4.19.034
110550083,I.86.7.100.003
110550087,I.86.4.39.041
110550115,I.69.4.27.005
110550147,I.69.4.156.003
110550175,I.55.4.34.011
110550294,I.56.4.25.013
110550309,I.69.4.16.036
110550311,I.69.4.67.001
110550317,I.69.4.109.001
110550356,I.47.4.4.010
110550382,I.73.4.4.030
110560027,I.69.4.34.001
110560073,I.69.4.4.028
110560074,I.47.4.34.001
110560162,I.86.4.6.036
110560172,I.86.4.34.002
110560191,I.86.4.6.017
110560217,I.69.4.4.066
110560221,I.69.7.308.001
110560239,I.55.4.12.016
110560328,I.49.4.34.001
110560331,I.49.4.35.001
110570062,I.73.4.133.013
110570103,I.73.4.4.012
110570232,I.47.4.11.027
110570270,I.73.4.4.034
