ACCN,YEAR,Seg_CRSP2ID_int
113650035,2011,096-010
131600089,2013,061-010
140080305,2014,074-010
152080032,2015,061-010
110020187,2011,033-040
110070199,2011,028-030
110110416,2011,046-080
110130322,2011,022-051
110130567,2011,022-030
110160097,2011,024-010
110200245,2011,035-031
110210361,2011,034-070
110280128,2011,005-010
110280305,2011,035-011
110280324,2011,046-070
110290083,2011,017-060
110290123,2011,046-050
110290137,2011,046-070
110300027,2011,034-071
110300137,2011,019-050
110310203,2011,022-050
110330501,2011,025-060
110350255,2011,026-011
110380034,2011,035-050
110380150,2011,046-080
110430083,2011,022-030
110470009,2011,046-031
110490008,2011,022-050
110500096,2011,022-030
110530133,2011,013-012
110530295,2011,026-020
110550403,2011,063-010
110600069,2011,022-030
110700079,2011,046-021
110720001,2011,025-010
110730130,2011,019-010
110740075,2011,004-050
110780009,2011,022-051
110830039,2011,035-011
111010107,2011,004-010
111110074,2011,045-050
111110153,2011,014-050
111200027,2011,045-080
111210091,2011,025-023
111220011,2011,018-050
111260222,2011,035-060
111270012,2011,013-040
111430017,2011,008-020
111450011,2011,045-010
111460023,2011,022-030
111460126,2011,045-010
111490123,2011,071-050
111540148,2011,045-050
111550041,2011,020-040
111560031,2011,020-021
111600094,2011,076-010
111690167,2011,019-030
111870112,2011,045-090
111880155,2011,023-010
111910113,2011,001-030
112060373,2011,008-020
112060378,2011,009-030
112090195,2011,022-050
112110086,2011,006-030
112130184,2011,022-030
112180152,2011,034-050
112230140,2011,019-010
112300146,2011,035-050
112350169,2011,035-040
112370040,2011,006-010
112410017,2011,019-030
112440115,2011,022-050
112470091,2011,045-020
112510248,2011,022-050
112520136,2011,020-010
112550060,2011,025-010
112570080,2011,020-033
112570129,2011,022-030
112580157,2011,022-051
112730062,2011,022-050
112730077,2011,022-050
112740128,2011,008-020
112770029,2011,022-030
112780145,2011,022-030
112890085,2011,013-010
112950090,2011,014-030
113090165,2011,046-050
113090167,2011,025-020
113110062,2011,051-010
113110263,2011,020-021
113130109,2011,022-050
113140129,2011,034-071
113150153,2011,022-050
113210089,2011,084-010
113240007,2011,046-050
113240023,2011,046-050
113240028,2011,013-080
113310038,2011,022-010
113350154,2011,035-050
113360132,2011,018-020
113360179,2011,022-040
113400074,2011,005-040
113400179,2011,022-030
113400210,2011,026-050
113410150,2011,001-021
113430069,2011,012-060
113480110,2011,048-010
113530084,2011,035-011
113540074,2011,008-020
120390053,2011,026-050
120520165,2011,022-030
120020057,2012,046-020
120080041,2012,022-050
120100100,2012,046-080
120120053,2012,022-051
120140140,2012,022-051
120150137,2012,026-070
120200251,2012,017-062
120210053,2012,022-054
120220208,2012,046-050
120230023,2012,035-030
120240002,2012,030-040
120250048,2012,010-031
120270157,2012,046-050
120400044,2012,018-040
120400130,2012,035-011
120420086,2012,017-050
120430059,2012,026-050
120450142,2012,031-040
120460181,2012,033-060
120500062,2012,020-032
120540177,2012,022-051
120720143,2012,026-020
120770021,2012,031-010
120800103,2012,020-021
120970093,2012,018-020
121030079,2012,022-051
121030120,2012,035-011
121040054,2012,022-030
121190074,2012,012-060
121290114,2012,022-050
121320001,2012,033-040
121390014,2012,074-020
121410018,2012,045-030
121430133,2012,046-031
121480020,2012,071-060
121510166,2012,022-050
121530016,2012,046-021
121550007,2012,035-050
121620035,2012,024-050
121690124,2012,040-010
121750100,2012,018-050
121780153,2012,022-050
121860002,2012,018-050
121950157,2012,039-020
121970072,2012,022-030
121970161,2012,022-030
121990227,2012,022-030
122160035,2012,020-045
122160104,2012,074-020
122190171,2012,001-012
122210003,2012,018-050
122230046,2012,026-020
122330138,2012,017-010
122360172,2012,022-051
122390064,2012,005-040
122420021,2012,008-020
122440180,2012,030-040
122450103,2012,029-023
122460032,2012,002-010
122470094,2012,025-060
122480095,2012,022-050
122500143,2012,022-030
122510161,2012,022-051
122600027,2012,017-030
122610018,2012,025-020
122610081,2012,020-045
122640183,2012,022-051
122660034,2012,046-031
122670051,2012,022-030
122710129,2012,022-050
122860123,2012,022-050
122870082,2012,022-030
122900093,2012,035-060
123020024,2012,006-020
123150142,2012,018-050
123160085,2012,046-040
123160179,2012,006-011
123220091,2012,013-070
123320176,2012,022-020
123340091,2012,022-040
123440003,2012,018-050
123470313,2012,033-010
123530096,2012,019-010
123590070,2012,022-051
123620117,2012,022-050
130230194,2012,022-030
130100135,2013,022-030
130110239,2013,046-050
130130110,2013,022-030
130230237,2013,029-027
130270059,2013,048-010
130350248,2013,047-010
130360049,2013,022-054
130520122,2013,018-050
130580132,2013,046-070
130630230,2013,022-030
130720089,2013,026-050
130790106,2013,030-040
130790186,2013,046-070
130810184,2013,013-010
130870034,2013,046-040
130890040,2013,013-060
130930069,2013,014-080
130940008,2013,006-010
131010222,2013,014-050
131020004,2013,046-050
131090030,2013,020-021
131110101,2013,026-060
131120109,2013,022-051
131200007,2013,102-010
131270056,2013,013-012
131300126,2013,046-070
131310052,2013,022-050
131330024,2013,046-031
131350052,2013,018-050
131380045,2013,046-031
131400007,2013,035-011
131400080,2013,022-030
131410165,2013,022-010
131500037,2013,020-032
131510065,2013,022-030
131580121,2013,045-010
131590081,2013,022-040
131640024,2013,046-020
131650011,2013,030-040
131660070,2013,030-010
131700032,2013,019-010
131750012,2013,101-030
131830187,2013,022-050
131860036,2013,118-011
131900024,2013,034-040
131900147,2013,005-020
131940013,2013,022-030
131960134,2013,048-010
132030005,2013,071-075
132050057,2013,046-031
132070198,2013,051-010
132160042,2013,071-020
132190155,2013,022-051
132280109,2013,080-010
132320236,2013,022-020
132320355,2013,046-010
