,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
InternalID,CRSP2_Unique_ID,SourceDataChange,CountID,Phase_Number,District_Number,County_ID,Turnback,Length_feet,CRSP1_Unique_ID,County_Name,Greater/Metro,County_Number,Route_System_Number,Route_System,Route_Number,City,Street_Name,Start_Description,End_Description,Start_Coordinates,End_Coordinates,ADT_year,ADT_vpd,Length_miles,MVMT_5yrMillionVMT,Num_Curve,Density_Curve,Area_Type,Urban/Rural,Initial Filter for All Factors,Filter_Region,Collect DataBeyond This Point?,Collect Data?,Context_Zone,Surface_Type,Segment_Cross_Section,Segment_Design,Seg_CrossSection_Design,Speed_Limit_mph,Speed_Limit_Source,Rumble_Strips,Mumble_Strips,Lane_Width,Shoulder_Type,Shoulder_Width,Median_Type,Median_Width,Edge_Risk,Edgeline_Striping,Centerline_Striping,Parking_Allowed,Sidewalks,Bike_Lanes,Road_Access_Count,Commercial_Access_Count,Residential_Access_Count,Farm_Access_Count,Alley_Other_Access_Count,Total_Access_County,Access_Density,Analyst_Comments,TotalCrashCount,SevereCrashCount,TotalCrashes_LaneDeparture,SevereCrashes_LaneDeparture,FatalCrashes_LaneDeparture,TotalCrashes_MultiVehicle,SevereCrashes_MultiVehicle,InjuryCrashes_MultiVehicle,TotalCrashes_HO_SSO,SevereCrashes_HO_SSO,InjuryCrashes_HO_SSO,TotalCrash_PED,SevereCrash_PED,K,A,B,C,N,KABCN,CrashCost,Risk Factors ==>,Context Zone,Speed Limit,Lane Width,Edgeline Striping,Parking,ADT0U,ADT0RS,ADT0RM,AADT,Access Density,Cross Section and Design,Curve Density,Edge Risk,Shoulder Width,Total Rating,Rural Project=>,Buffer Between Opposing Lanes,Clear Zone Maintenance,6'' Wet Reflective in Groove,"Shoulder Paving, Safety Edge",Centerline Rumble Strip,Edge Line Rumble Strip,Shoulder Rumble Strip,Enhanced Edgeline,Urban Project=>,Divided Roadway,Access Management,Road Diet Convert to 3-Lane,Road Diet Convert to 5-Lane,Dynamic Speed Sign_Reviewed
3464,S.73.4.82.001,,1,1,3,,,95.38828324,,Stearns,Greater MN,73,4,CSAH,82,,Broadway St E,Mill St N,Mill St,,,2013,1620,0.018065963,0.05,0,0,Small Town,Rural,RG,Rural,YES,nv,Commercial,Paved,2-Lane,Undivided,2-Lane Undivided,30,Imagery (2008),None,None,12,Curb & Gutter,6,Undivided,NV,1,Present,Present,Both Sides,Both Sides,None,2,1,0,0,0,3,166.0581306,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,177800,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
3448,S.73.4.66.002,,1,1,3,,,261.0912519,,Stearns,Greater MN,73,4,CSAH,66,,"River St, 5th St",0.05 miles SW E James St,E James St,,,2013,910,0.049449101,0.08,0,0,Small Town,Rural,RG,Rural,YES,nv,Residential,Paved,2-Lane,Undivided,2-Lane Undivided,30,Imagery (2009),None,None,12,Curb & Gutter,6,Undivided,NV,1,Present,Present,Both Sides,Both Sides,None,1,0,5,0,1,7,141.5597027,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
3200,S.56.4.51.001,,1,1,2,,,386.4926005,,Otter Tail,Greater MN,49,4,CSAH,51,,3rd Ave SW,2nd St SW,CSAH 80,,,2015,1935,0.073199356,0.26,0,0,Small Town,Rural,RG,Rural,YES,nv,Commercial,Paved,2-Lane,Undivided,2-Lane Undivided,30,Statutory,None,None,12,Curb & Gutter,6,None,NV,1,None,None,Both Sides,Both Sides,None,4,5,0,0,0,9,122.9519011,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7800,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
3683,S.09.4.4.003,,1,1,1,,,5140.476233,9.5.01,Carlton,Greater MN,9,4,CSAH,4,,Sandy Lake Way/CR 5,CR 6,CR 61,,,2014,930,0.973575044,1.65,1,1.03,Rural,Rural,RG,Rural,YES,nv,Agricultural,Paved,2-Lane,Undivided,2-Lane Undivided,55,Imagery 14,None,None,11,None,0,Undivided,NV,2S,Present,Present,None,None,None,16,7,83,10,3,119,122.2299202,,3,0,1,0,curve,1,0,0,1,0,0,0,0,0,0,1,0,2,3,185600,,0,1,0,0,0,0,1,0,1,0,0,1,1,0,5,,0,1,0,0,0,0,0,0,,NA,NA,NA,NA,NA
1682,024-010,,1,1,6,024-010,N,2436.796795,,Freeborn,Greater MN,24,4,CSAH,24,CLARKS GROVE,,CSAH 45,CSAH 31,,,2013,540,0.461514544,0.45,2,4.33,Small Town,Rural,RG,Rural,YES,nv,Residential,Paved,2-Lane,Undivided,2-Lane Undivided,30,Statutory,None,None,12,Curb & Gutter,7.5,Undivided,NV,NV,None,None,Both Sides,Both Sides,None,5,0,46,0,2,53,114.8392843,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7800,,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
3925,S.47.4.38.001,,1,1,8,,,752.8430696,47.38.01,Meeker,Greater MN,47,4,CSAH,38,,Pegasus Ave W,Saturn St,MNTH 4/Milky Way St,,,2015,435,0.142583915,0.11,0,0,Small Town,Rural,RG,Rural,YES,nv,Residential,paved,2-Lane,Undivided,2-Lane Undivided,30,Statutory,None,None,12,Paved,6,UnDivided,NV,1,None,None,Both Sides,One Side,None,6,0,6,0,4,16,112.2146214,No Street View Imagery/2 block area with 1/2 blocks of sidewalk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,170000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
7,S.13.4.14.001,,1,1,1,,,1789.634503,,Chisago,Greater MN,13,4,CSAH,14,Lindstrom,Lincoln Rd,T-Intersection of Stacy Trail and Lincold Rd,Intersection of Co Hwy 8 and Co Hwy 14,,,2015,4170,0.338945929,2.58,1,2.95,Suburban,Urban,UG,UG,YES,nv,Residential,Paved,2-Lane,Divided,2-Lane Divided,45,Imagery (2009),None,None,12,Paved,4,Varies,8,2C,Present,Present,None,None,None,5,3,2,NV,NV,10,29.50323092,2009 Google Earth Imagery,4,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,3,1,4,268800,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0
1736,033-060,,1,1,6,033-060,N,584.3959005,,Freeborn,Greater MN,24,4,CSAH,33,HARTLAND,,BROADWAY,DM&E RR,,,2013,875,0.110681042,0.18,0,0,Small Town,Rural,RG,Rural,YES,nv,Mixed Use,Paved,2-Lane,Undivided,2-Lane Undivided,30,Statutory,None,None,12,Curb & Gutter,9,Undivided,NV,NV,None,None,Both Sides,None,None,3,1,5,0,3,12,108.4196517,No Streetview Images,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7800,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
9,S.13.4.14.003,,1,1,1,,,21537.19833,,Chisago,Greater MN,13,4,CSAH,14,North Branch,Lincoln Trail,Intersection of Lincoln Rd and Jensent Rd,Intersection of Main St and Grand Ave,,,2013,5050,4.079014836,37.59,3,0.74,Suburban,Urban,UG,UG,YES,nv,Residential,Paved,2-Lane,Undivided,2-Lane Undivided,55,Statutory ,None,None,12,Paved,8,Undivided,NV,1,Present,Present,None,None,None,15,10,23,11,1,60,14.70943412,,25,0,6,0,0,10,0,4,3,0,1,0,0,0,0,3,6,16,25,1156800,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0
